Metodo = BFGS
tbeg = 0.0 | tend = 31.0 | dim = 2
x0 = [0.25, 0.2]
lower = [0.0, 0.0]
upper = [0.5, 0.5]
rmsd_tol = 0.09
grad_tol = 0.001

iter	f	x1	x2
0	91.28625252938919	0.25	0.2
1	3.380000000000001e56	-613.9036400166017	-532.1537433147593
2	3.380000000000001e56	-306.82682000830084	-265.97687165737966
3	3.380000000000001e56	-153.28841000415042	-132.88843582868984
4	3.380000000000001e56	-76.51920500207521	-66.34421791434491
5	3.380000000000001e56	-38.134602501037605	-33.07210895717245
6	3.380000000000001e56	-18.942301250518803	-16.43605447858623
7	3.380000000000001e56	-9.346150625259401	-8.118027239293115
8	3.380000000000001e56	-4.548075312629701	-3.959013619646557
9	3.380000000000001e56	-2.1490376563148503	-1.8795068098232786
