Metodo = MADS
tbeg = 0.0 | tend = 5.0 | dim = 3
x0 = [0.09, 0.09, 0.09]
lower = [0.0, 0.0, 0.0]
upper = [0.5, 0.5, 0.5]
rmsd_tol = 0.09
rhobeg = 0.05
rhoend = 0.0001

iter	f	x1	x2	x3
0	2.100479089231111	0.09	0.09	0.09
1	3.380000000000001e56	0.0	0.19	0.19
2	3.380000000000001e56	0.19	0.0	0.0
3	3.781985124997883	0.19	0.19	0.09
4	3.380000000000001e56	0.0	0.0	0.09
5	3.380000000000001e56	0.0	0.313	0.247
6	3.380000000000001e56	0.045	0.235	0.185
7	4.067278264543645	0.127	0.14	0.054
8	0.5552124897251627	0.138	0.091	0.14
9	1.8377433492824244	0.238	0.094	0.34
10	0.0907450321741556	0.138	0.09	0.24
11	5.8622475310064805	0.138	0.09	0.5
12	4.430853900775669	0.238	0.09	0.44
13	0.5564031934168798	0.138	0.09	0.14
14	1.7125945169961525	0.138	0.0	0.14
15	0.3746562437374091	0.238	0.09	0.24
16	3.8230829549290615	0.138	0.0	0.44
17	5.811678508621803	0.138	0.087	0.5
18	1.1573199381223014	0.238	0.119	0.14
19	0.23660109688306746	0.205	0.091	0.24
20	1.8469213957165151	0.249	0.09	0.34
21	0.12375875476483884	0.166	0.091	0.24
22	0.5527855056969373	0.188	0.056	0.14
23	1.3170227666703156	0.166	0.07	0.34
24	0.919821178891723	0.104	0.04	0.24
25	0.09109477515232815	0.138	0.091	0.24
26	0.7265607881806236	0.205	0.094	0.136
27	1.548021221497594	0.107	0.125	0.34
28	0.04554155916366356	0.168	0.073	0.19
29	0.06167488523637722	0.13	0.078	0.207
30	0.10678460406046439	0.153	0.07	0.185
31	0.033896462257508926	0.142	0.086	0.226
32	0.17389707457598352	0.155	0.068	0.175
33	0.029587639876236676	0.142	0.085	0.224
34	0.02354888706228994	0.142	0.082	0.218
35	0.061699561788721394	0.142	0.073	0.218
36	0.02093158457539032	0.154	0.078	0.218
37	0.02947774129955498	0.19	0.078	0.218
38	0.015376422638237462	0.173	0.078	0.218
39	0.31632032785558356	0.273	0.078	0.218
40	0.07158392189715108	0.273	0.0	0.218
41	0.9725183291592385	0.173	0.078	0.318
42	3.380000000000001e56	0.073	0.178	0.218
43	0.1259960835982199	0.23	0.078	0.218
44	0.006404102528416874	0.273	0.024	0.206
45	0.883250580743834	0.5	0.0	0.206
46	0.3876786880214998	0.173	0.024	0.206
47	0.05200952538373848	0.273	0.0	0.206
48	0.28437449977616713	0.373	0.024	0.206
49	1.525033065214855	0.373	0.024	0.106
50	0.9913129235287763	0.5	0.0	0.17
51	0.01457063741960753	0.326	0.0	0.201
52	0.08185188075686266	0.361	0.0	0.199
53	0.011833003613324608	0.206	0.056	0.213
54	0.054815363176272926	0.223	0.056	0.229
