problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,bfgs_hagerzhang,3.2035953632600697e-21,6.4071907265201395e-21,5.660031239542826e-11,1.51567878073188e-9,41,64,64,0.365623722,true,gradient_converged,"[-1.2, 1.0]","[0.9999999999600724, 0.9999999999132072]"
mgh01,2,2,bfgs_backtracking1,7.288056944892357e-19,1.4576113889784715e-18,8.537011740001508e-10,6.44143478864481e-9,35,56,36,0.003621467,true,gradient_converged,"[-1.2, 1.0]","[1.0000000011603267, 1.000000002354008]"
mgh01,2,2,bfgs_backtracking2,1.9811212969866065e-22,3.962242593973213e-22,1.4075231070879819e-11,3.687402878681231e-10,39,53,40,8.4721e-5,true,gradient_converged,"[-1.2, 1.0]","[1.0000000000118199, 1.0000000000220381]"
mgh01,2,2,bfgs_backtracking3,4.300094978118254e-20,8.600189956236509e-20,2.0736670364642089e-10,7.968654113512536e-10,21,33,22,4.9345e-5,true,gradient_converged,"[-1.2, 1.0]","[1.0000000002923208, 1.0000000005822955]"
mgh02,2,2,bfgs_hagerzhang,24.492126839620013,48.98425367924003,4.94895209510256,6.398893803399953e-10,10,13,13,3.9718e-5,true,gradient_converged,"[0.5, -2.0]","[11.412778986923076, -0.8968052532718138]"
mgh02,2,2,bfgs_backtracking1,24.492126839620013,48.98425367924003,4.94895209510256,8.518980219213767e-9,9,19,10,2.4259e-5,true,gradient_converged,"[0.5, -2.0]","[11.41277898668937, -0.8968052532682551]"
mgh02,2,2,bfgs_backtracking2,1.1069296222061238e-26,2.2138592444122475e-26,1.0521072294239422e-13,2.198150974748396e-12,10,15,11,2.2166e-5,true,gradient_converged,"[0.5, -2.0]","[5.0000000000001155, 3.999999999999999]"
mgh02,2,2,bfgs_backtracking3,24.492126839620006,48.98425367924001,4.948952095102559,3.043116506683083e-12,12,22,13,2.3885e-5,true,gradient_converged,"[0.5, -2.0]","[11.412778986901923, -0.8968052532744933]"
mgh03,2,2,bfgs_hagerzhang,4.505634526952207e-27,9.011269053904415e-27,6.71240234711255e-14,4.96386048975231e-9,184,264,264,0.00035103,true,gradient_converged,"[0.0, 1.0]","[1.0981593296145023e-5, 9.106146740573477]"
mgh03,2,2,bfgs_backtracking1,8.237014401381636e-27,1.647402880276327e-26,9.075799910411002e-14,1.4166629325754732e-10,153,223,154,0.000235822,true,gradient_converged,"[0.0, 1.0]","[1.0981593295589373e-5, 9.106146741034744]"
mgh03,2,2,bfgs_backtracking2,5.053640174072107e-30,1.0107280348144214e-29,2.248030287623391e-15,2.830752396078957e-10,173,233,174,0.000215217,true,gradient_converged,"[0.0, 1.0]","[1.0981593296991694e-5, 9.10614673987187]"
mgh03,2,2,bfgs_backtracking3,5.053640174072107e-30,1.0107280348144214e-29,2.248030287623391e-15,2.830752396078957e-10,173,233,174,0.000216464,true,gradient_converged,"[0.0, 1.0]","[1.0981593296991694e-5, 9.10614673987187]"
mgh04,2,3,bfgs_hagerzhang,0.0,0.0,0.0,0.0,14,93,93,0.000137813,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0e-6]"
mgh04,2,3,bfgs_backtracking1,1.5777218104434585e-30,3.155443620886917e-30,1.0255800994050338e-15,1.7763568394019445e-9,12,54,13,3.1687e-5,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0000000000000016e-6]"
mgh04,2,3,bfgs_backtracking2,9.860761315271616e-32,1.972152263054323e-31,2.5639502485125845e-16,4.4408920985048613e-10,13,40,14,2.7097e-5,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0000000000000003e-6]"
mgh04,2,3,bfgs_backtracking3,0.0,0.0,0.0,0.0,12,49,13,2.6041e-5,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0e-6]"
mgh05,2,3,bfgs_hagerzhang,6.167634144292098e-23,1.2335268288584196e-22,6.412297635165364e-12,5.3676817148833626e-11,16,23,23,7.067e-5,true,gradient_converged,"[1.0, 1.0]","[2.9999999999945444, 0.4999999999963796]"
mgh05,2,3,bfgs_backtracking1,2.205359597106093e-20,4.410719194212186e-20,1.2125344248325745e-10,8.732401551328575e-11,14,21,15,3.5346e-5,true,gradient_converged,"[1.0, 1.0]","[2.999999999475087, 0.499999999870302]"
mgh05,2,3,bfgs_backtracking2,2.500895342872257e-22,5.001790685744514e-22,1.2912256045768447e-11,1.0795509381222512e-10,18,22,19,3.651e-5,true,gradient_converged,"[1.0, 1.0]","[2.9999999999865765, 0.5000000000011922]"
mgh05,2,3,bfgs_backtracking3,2.500895342872257e-22,5.001790685744514e-22,1.2912256045768447e-11,1.0795509381222512e-10,18,22,19,2.7267e-5,true,gradient_converged,"[1.0, 1.0]","[2.9999999999865765, 0.5000000000011922]"
mgh06,2,10,bfgs_hagerzhang,1010.0,2020.0,14.212670403551895,0.0,1,2,2,3.1135e-5,true,gradient_converged,"[0.3, 0.4]","[-16897.97941192349, -43700.67333517245]"
mgh06,2,10,bfgs_backtracking1,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,10,2,2.1115e-5,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh06,2,10,bfgs_backtracking2,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,10,2,2.258e-5,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh06,2,10,bfgs_backtracking3,1010.0,2020.0,14.212670403551895,4.822745531992369e-24,1,10,2,2.0345e-5,true,gradient_converged,"[0.3, 0.4]","[-55.07499321463552, -142.80668870583]"
mgh07,3,3,bfgs_hagerzhang,1.9298675969757302e-20,3.8597351939514604e-20,1.1342743927215407e-10,1.588423018722376e-9,31,49,49,0.002559189,true,gradient_converged,"[-1.0, 0.0, 0.0]","[1.0000000000150484, -7.659380737909049e-11, -1.2419796216438679e-10]"
mgh07,3,3,bfgs_backtracking1,2.2487150752754327e-20,4.4974301505508653e-20,1.2243951092343332e-10,1.9623058314907675e-9,29,55,30,8.05e-5,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999846201, 7.959016544213749e-11, 1.327519928223675e-10]"
mgh07,3,3,bfgs_backtracking2,5.236320261563365e-19,1.047264052312673e-18,5.908367096225129e-10,5.028697146926833e-9,29,41,30,5.6233e-5,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999980391, -6.108499822114774e-10, -9.957338127193799e-10]"
mgh07,3,3,bfgs_backtracking3,9.033110049935236e-22,1.806622009987047e-21,2.4539913134775948e-11,7.491281395599371e-10,31,44,32,5.3135e-5,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999982936, -3.1168655282762916e-13, -4.364384216565005e-12]"
mgh08,3,15,bfgs_hagerzhang,0.004107438653289497,0.008214877306578994,0.02340210433070638,3.567466539971795e-9,21,26,26,0.000128074,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.0824105590520042, 1.1330360754349131, 2.3436951932111176]"
