tend	dimension	test	method	model_multistart	sum_fi_squared	RMSD	gradient_norm	external_evaluations	function_evaluations	gradient_evaluations	function_evaluation_time_seconds	gradient_evaluation_time_seconds	total_function_evaluation_time_seconds	total_gradient_evaluation_time_seconds	execution_time_seconds	iterations	converged	status	x0	solution
31.0	3	1	backtracking_simples	1	1.0085224998384352	0.05462411901550653	0.011825199950072036	31	24	7	7.8332215637083324	22.84701294557143	187.997317529	159.929090619	349.288497863	6	true	gradient_converged	[0.09, 0.09, 0.09]	[0.2280396624842432, 0.021672142081432068, 0.18091100413385222]
31.0	3	1	backtracking_ordem_2	1	1.008522514163271	0.054624119403441126	0.0013768711818510928	30	21	9	10.85899809990476	21.349841902666668	228.03896009799996	192.148577124	420.235171464	8	true	gradient_converged	[0.09, 0.09, 0.09]	[0.22801216374447436, 0.021684554639993064, 0.18091206547309965]
31.0	3	1	backtracking_ordem_3	1	1.008522514163271	0.054624119403441126	0.0013768711818510928	30	21	9	10.322905227380952	20.566746036444446	216.78100977499997	185.100714328	401.896707211	8	true	gradient_converged	[0.09, 0.09, 0.09]	[0.22801216374447436, 0.021684554639993064, 0.18091206547309965]
31.0	3	1	backtracking_simples	10	1.0085232549213954	0.054624139464100274	0.014603835488089615	46	38	8	9.103355295342107	20.435173069	345.92750122300004	163.481384552	509.528915383	7	true	function_converged	[0.09, 0.09, 0.09]	[0.22781825846555218, 0.021793267361096255, 0.18092019601799625]
31.0	3	1	backtracking_ordem_2	10	1.0086976501829399	0.05462886210150948	0.46170797580826717	60	47	13	10.969621308382978	20.372812756230772	515.572201494	264.846565831	780.650780217	12	true	function_converged	[0.09, 0.09, 0.09]	[0.2244527475919703, 0.023540376428328243, 0.18095996782390103]
31.0	3	1	backtracking_ordem_3	10	1.0085240878789004	0.054624162021625504	0.015091661062659356	74	58	16	11.292785004362072	20.276214615250005	654.9815302530002	324.4194338440001	979.713609045	15	true	gradient_converged	[0.09, 0.09, 0.09]	[0.2284427499756403, 0.02145024700492678, 0.18089806859341284]
31.0	3	1	backtracking_simples	100	1.008522496932449	0.05462411893680877	0.0033281094003231263	45	37	8	9.073904529756755	20.203816719125	335.7344676009999	161.630533753	498.501690891	7	true	function_converged	[0.09, 0.09, 0.09]	[0.22811669290286826, 0.021626146416754758, 0.1809089651552535]
31.0	3	1	backtracking_ordem_2	100	1.0085224744396524	0.054624118327675504	0.004664477797995473	107	85	22	11.59887991876471	20.318281993181817	985.9047930950004	447.00220385	1436.946702477	21	true	function_converged	[0.09, 0.09, 0.09]	[0.2280699796565869, 0.02165374086515303, 0.18091028405635412]
31.0	3	1	backtracking_ordem_3	100	1.0085225822709365	0.05462412124788245	0.013575795677428053	54	42	12	11.503007302619048	20.538051414666665	483.12630671	246.456616976	731.658523378	11	true	function_converged	[0.09, 0.09, 0.09]	[0.22815855826472145, 0.0216049387747445, 0.1809111026881646]
31.0	10	1	backtracking_simples	1	0.8360485849945137	0.04973446012225736	35.226081070547174	138	124	14	5.907510285282255	30.985801269642856	732.5312753749996	433.801217775	1166.777532285	13	false	line_search_failed	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.25831482423042834, 0.0689300813542705, -0.05048323879329908, 0.19746745246669528, -0.03799966942385134, 0.0282372859566543, 0.05238850614213985, -0.012483875499300074, 0.15186379437455172, 0.17725030694380062]
31.0	10	1	backtracking_ordem_2	1	0.6837634997221371	0.04497742693940109	0.49051039115504325	207	160	47	9.733582634199996	31.024435715957452	1557.3732214719994	1458.1484786500002	3015.739996781	46	true	function_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.7768816081680816, -0.1319955669214486, -0.01772864986317011, 0.1810215079837429, -0.022256120399873035, 0.0735188558678845, 0.014126740855282918, 0.006155102333701021, 0.12392161398554115, 0.17380032897076497]
31.0	10	1	backtracking_ordem_3	1	0.6907161954431925	0.045205520014404865	3.4855170390631454	229	181	48	8.151575827707186	30.904588081624997	1475.4352248150005	1483.420227918	2959.072052814	47	true	function_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.3124842055595957, 0.0260564813275779, -0.01968923255061541, 0.18232753684308867, -0.012591090585314458, 0.07251667740632013, 0.018462223050790795, 0.0029947522629549792, 0.12190122279016735, 0.17463449037885168]
31.0	10	1	backtracking_simples	10	0.6994026372197113	0.04548888404496147	0.9327361030557909	424	369	55	6.393962947617888	30.57103247098182	2359.3723276710007	1681.4067859040001	4042.988794839	54	true	function_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[2.209786405764125, 0.1350151200694324, -0.026344529931478594, 0.18522740237200025, -0.04770254540649569, -0.016619230101176146, -0.026043906698379214, 0.05632942105371434, 0.10961778457223775, 0.1696338464344255]
31.0	10	1	backtracking_ordem_2	10	0.7415684966663606	0.046840043073289074	11.350288819838145	154	125	29	8.664255040703996	30.507375318827588	1083.0318800879995	884.713884246	1969.020844054	28	true	step_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.14980158160882698, 0.009044637854741876, 0.0077120784775571065, 0.1680002887694661, -0.002231914439527372, 0.05632206954209174, 0.04290014903316385, -0.007565364579771733, 0.11299059227179793, 0.1721528791509025]
31.0	10	1	backtracking_ordem_3	10	0.7178518948933776	0.04608494520166821	12.519953957980734	103	83	20	7.348128846963858	30.489409182350006	609.8946942980002	609.7881836470001	1220.371719969	19	true	function_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.6092555999752572, -0.11585335672082091, -0.009919777936939071, 0.18062776513219847, -0.014459452417077185, 0.06181099256901561, 0.0011955204311074566, 0.06560688152210116, 0.12398309410950153, 0.1732031313675535]
31.0	10	1	backtracking_simples	100	0.7998388026316638	0.04864552384376705	10.638420046005344	223	203	20	3.3798210048275856	30.460617602600003	686.1036639799999	609.212352052	1301.241693059	19	true	function_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.08353195562479318, 0.08590678368323805, 0.03821697945713588, 0.1549705752809334, 0.02667728932621646, 0.05874929604438967, -0.021481795875739104, 0.06844809171363378, 0.09466576659035442, 0.1710259373572096]
31.0	10	1	backtracking_ordem_2	100	0.6889305310646765	0.045147048730421906	2.382434837189712	195	158	37	9.256572770696202	30.479441731378387	1462.5384977699998	1127.7393440610003	2604.063074554	36	true	step_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.39026162346740967, -0.09986707919682053, -0.02063439293009204, 0.18173561912350927, -0.01608779423430601, 0.06144614178857264, 0.04231920505445465, -0.004943075389040616, 0.11524850169074509, 0.1720787525311143]
31.0	10	1	backtracking_ordem_3	100	0.7011251342542232	0.04554486487770571	1.9951954067446969	195	152	43	8.078754212690788	30.506833718627906	1227.9706403289997	1311.793849901	2557.360849204	42	true	function_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.34594178749269505, 0.029284281360029356, -0.019208627990757718, 0.1837626503074994, -0.022479646398328258, 0.07395319872739235, -0.01879678884182737, 0.046179609489712156, 0.12791608415917333, 0.17611020975123326]
