tend	dimension	test	method	model_multistart	sum_fi_squared	RMSD	gradient_norm	external_evaluations	function_evaluations	gradient_evaluations	function_evaluation_time_seconds	gradient_evaluation_time_seconds	total_function_evaluation_time_seconds	total_gradient_evaluation_time_seconds	execution_time_seconds	iterations	converged	status	x0	solution
31.0	3	1	backtracking_simples	1	1.0085234109241414	0.05462414368884938	0.018621622156180684	31	24	7	8.030901386208333	22.815661113571426	192.74163326899998	159.709627795	353.777651918	6	true	gradient_converged	[0.09, 0.09, 0.09]	[0.22779587086214934, 0.02180762963881899, 0.1809186738769367]
31.0	3	1	backtracking_ordem_2	1	1.0085224727867033	0.054624118282911555	0.0018688602146471926	27	19	8	11.200216776473685	22.084434692375	212.804118753	176.675477539	389.522044049	7	true	gradient_converged	[0.09, 0.09, 0.09]	[0.22807733176334008, 0.021649031217276158, 0.18091000178145386]
31.0	3	1	backtracking_ordem_3	1	1.0085224727867033	0.054624118282911555	0.0018688602146471926	27	19	8	11.085894593684213	22.619302899875	210.63199728000004	180.954423199	391.598357015	7	true	gradient_converged	[0.09, 0.09, 0.09]	[0.22807733176334008, 0.021649031217276158, 0.18091000178145386]
31.0	3	1	backtracking_simples	10	1.0085234109241414	0.05462414368884938	0.018621622156180684	31	24	7	7.955462556041668	22.134342545428577	190.93110134500003	154.94039781800004	345.995991551	6	true	gradient_converged	[0.09, 0.09, 0.09]	[0.22779587086214934, 0.02180762963881899, 0.1809186738769367]
31.0	3	1	backtracking_ordem_2	10	1.0111682545966423	0.054695722456327894	1.0352700555969623	163	134	29	12.23815689697014	22.096648817827585	1639.9130241939988	640.8028157169999	2281.384808553	28	true	function_converged	[0.09, 0.09, 0.09]	[0.24373318490199827, 0.013032630291753299, 0.18046154772682527]
31.0	3	1	backtracking_ordem_3	10	1.0086108884669072	0.05462651263844496	0.12481706183474038	40	31	9	10.186003321935486	20.372440374888885	315.7661029800001	183.35196337399998	499.272884409	8	true	function_converged	[0.09, 0.09, 0.09]	[0.23081145299737826, 0.020111380244716804, 0.1808183089942656]
31.0	3	1	backtracking_simples	100	1.0085670838187208	0.05462532639250167	0.17157248440077147	87	76	11	10.602404159052634	20.04723173381818	805.7827160880001	220.51954907199996	1028.288662936	10	true	function_converged	[0.09, 0.09, 0.09]	[0.22617943810381705, 0.022650646336210504, 0.18096652724964096]
31.0	3	1	backtracking_ordem_2	100	1.0111682546551652	0.0546957224579107	1.0352702615668137	163	134	29	10.93673828065672	20.030991551206895	1465.5229296080004	580.898754985	2052.190373807	28	true	function_converged	[0.09, 0.09, 0.09]	[0.24373318476716746, 0.013032630506748221, 0.1804615476487147]
31.0	3	1	backtracking_ordem_3	100	1.0086108948664194	0.054626512811744216	0.12478194895176889	40	31	9	10.133635464064515	19.97253447211111	314.14269938599995	179.752810249	495.374288029	8	true	function_converged	[0.09, 0.09, 0.09]	[0.23081157421672516, 0.020111322726875464, 0.1808183067506914]
31.0	10	1	backtracking_simples	1	0.6886889872622489	0.04513913360303551	825.148430583313	199	166	33	7.432874691879514	30.766282396272725	1233.8571988519993	1015.2873190769999	2249.659113799	32	true	function_converged	[0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09, 0.09]	[0.2554701105285956, 0.017538216844901967, -0.023086220507862736, 0.1850897777823131, -0.020608461045330467, 0.08150485207932338, -0.01929028680675064, -0.005371015161529363, 0.1278664731851994, 0.17667021047515827]
