problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,ffjm2_bfgs,3.0526827536730453e-24,6.1053655073460905e-24,1.7471928209768505e-12,3.667562484439266e-11,2,8,3,11.70527924,true,gradient_converged,"[-1.2, 1.0]","[1.0000000000019136, 1.0000000000036708]"
mgh01,2,2,bfgs_backtracking2,1.9811212969866065e-22,3.962242593973213e-22,1.4075231070879819e-11,3.687402878681231e-10,39,53,40,0.025774056,true,converged,"[-1.2, 1.0]","[1.0000000000118199, 1.0000000000220381]"
mgh02,2,2,ffjm2_bfgs,24.492126839620006,48.98425367924001,4.948952095102559,3.382264738513695e-8,6,20,7,4.338636379,true,function_converged,"[0.5, -2.0]","[11.412778982102969, -0.8968052536342889]"
mgh02,2,2,bfgs_backtracking2,1.1069296222061238e-26,2.2138592444122475e-26,1.0521072294239422e-13,2.198150974748396e-12,10,15,11,2.9426e-5,true,converged,"[0.5, -2.0]","[5.0000000000001155, 3.999999999999999]"
mgh03,2,2,ffjm2_bfgs,0.0006863715318803579,0.0013727430637607157,0.026198693323911365,0.7623511475301091,26,197,27,38.774102959,true,step_converged,"[0.0, 1.0]","[3.0376373865841347e-5, 3.2919596392005652]"
mgh03,2,2,bfgs_backtracking2,5.053640174072107e-30,1.0107280348144214e-29,2.248030287623391e-15,2.830752396078957e-10,173,233,174,0.000234245,true,converged,"[0.0, 1.0]","[1.0981593296991694e-5, 9.10614673987187]"
mgh04,2,3,ffjm2_bfgs,3.2254885133710642e-21,6.4509770267421284e-21,4.63716041946007e-11,8.031797449356264e-5,4,34,5,1.510936703,true,step_converged,"[1.0, 1.0]","[1.0e6, 1.999999999919682e-6]"
mgh04,2,3,bfgs_backtracking2,9.860761315271616e-32,1.972152263054323e-31,2.5639502485125845e-16,4.4408920985048613e-10,13,40,14,3.2332e-5,true,converged,"[1.0, 1.0]","[1.0e6, 2.0000000000000003e-6]"
mgh05,2,3,ffjm2_bfgs,1.0411371223275106e-11,2.082274244655021e-11,2.634561471829813e-6,1.4070166108724136e-5,7,17,8,4.89292036,true,gradient_converged,"[1.0, 1.0]","[2.999990914509759, 0.4999983215287229]"
mgh05,2,3,bfgs_backtracking2,2.500895342872257e-22,5.001790685744514e-22,1.2912256045768447e-11,1.0795509381222512e-10,18,22,19,3.8846e-5,true,converged,"[1.0, 1.0]","[2.9999999999865765, 0.5000000000011922]"
mgh06,2,10,ffjm2_bfgs,1010.0,2020.0,14.212670403551895,4.822745531992369e-24,1,10,2,7.1125e-5,true,gradient_converged,"[0.3, 0.4]","[-55.07499321463552, -142.80668870583]"
mgh06,2,10,bfgs_backtracking2,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,10,2,2.2762e-5,true,converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
