problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,ffjm2_box_sr1,1.3421273462909478e-17,2.6842546925818955e-17,3.6635056247956654e-9,2.3158458189397373e-9,3,10,4,1.085696874,true,gradient_converged,"[-1.2, 1.0]","[1.0000000051769369, 1.0000000103743363]"
mgh01,2,2,bfgs_backtracking2,1.9811212969866065e-22,3.962242593973213e-22,1.4075231070879819e-11,3.687402878681231e-10,39,53,40,0.006870344,true,gradient_converged,"[-1.2, 1.0]","[1.0000000000118199, 1.0000000000220381]"
mgh02,2,2,ffjm2_box_sr1,24.49212683962,48.98425367924,4.948952095102558,8.457904223781096e-10,15,38,16,0.122138949,true,gradient_converged,"[0.5, -2.0]","[11.412778986707542, -0.8968052532878967]"
mgh02,2,2,bfgs_backtracking2,1.1069296222061238e-26,2.2138592444122475e-26,1.0521072294239422e-13,2.198150974748396e-12,10,15,11,2.6628e-5,true,gradient_converged,"[0.5, -2.0]","[5.0000000000001155, 3.999999999999999]"
mgh03,2,2,ffjm2_box_sr1,5.144376880720816e-15,1.0288753761441632e-14,7.172431164340872e-8,9.959191873998828e-9,22,71,23,0.226438282,true,gradient_converged,"[0.0, 1.0]","[1.0980478579874491e-5, 9.107071178405842]"
mgh03,2,2,bfgs_backtracking2,5.053640174072107e-30,1.0107280348144214e-29,2.248030287623391e-15,2.830752396078957e-10,173,233,174,0.000224323,true,gradient_converged,"[0.0, 1.0]","[1.0981593296991694e-5, 9.10614673987187]"
mgh04,2,3,ffjm2_box_sr1,0.0,0.0,0.0,0.0,5,48,6,0.049240479,true,residual_converged,"[1.0, 1.0]","[1.0e6, 2.0e-6]"
mgh04,2,3,bfgs_backtracking2,9.860761315271616e-32,1.972152263054323e-31,2.5639502485125845e-16,4.4408920985048613e-10,13,40,14,3.1535e-5,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0000000000000003e-6]"
mgh05,2,3,ffjm2_box_sr1,8.260606272828401e-28,1.6521212545656803e-27,2.3467149056824663e-14,1.5891321445490463e-14,7,16,8,0.054383196,true,gradient_converged,"[1.0, 1.0]","[2.9999999999998983, 0.49999999999997463]"
mgh05,2,3,bfgs_backtracking2,2.500895342872257e-22,5.001790685744514e-22,1.2912256045768447e-11,1.0795509381222512e-10,18,22,19,4.37e-5,true,gradient_converged,"[1.0, 1.0]","[2.9999999999865765, 0.5000000000011922]"
mgh06,2,10,ffjm2_box_sr1,1010.0,2020.0,14.212670403551895,4.822745531992369e-24,1,10,2,6.9884e-5,true,gradient_converged,"[0.3, 0.4]","[-55.07499321463552, -142.80668870583]"
mgh06,2,10,bfgs_backtracking2,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,10,2,2.0255e-5,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh07,3,3,ffjm2_box_sr1,5.24369111124597e-31,1.048738222249194e-30,5.912524058440676e-16,1.5954357570317966e-15,9,27,10,0.089430673,true,gradient_converged,"[-1.0, 0.0, 0.0]","[1.0, 6.466563202771221e-16, 1.0191616341679303e-15]"
mgh07,3,3,bfgs_backtracking2,5.236320261563365e-19,1.047264052312673e-18,5.908367096225129e-10,5.028697146926833e-9,29,41,30,7.1656e-5,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999980391, -6.108499822114774e-10, -9.957338127193799e-10]"
mgh08,3,15,ffjm2_box_sr1,0.004107438653289492,0.008214877306578983,0.023402104330706365,6.071608409373868e-11,6,15,7,0.052744652,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241055984705406, 1.1330360955095213, 2.3436951752827633]"
mgh08,3,15,bfgs_backtracking2,0.004107438653289492,0.008214877306578983,0.023402104330706365,7.394161492709181e-10,27,34,28,0.000119503,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241055957207155, 1.1330360875689756, 2.3436951829426325]"
mgh09,3,15,ffjm2_box_sr1,5.639663855488937e-9,1.1279327710977874e-8,2.7421801194156782e-5,1.1504590215778009e-9,2,6,3,0.011077911,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.39895613621852, 1.000019070065491, -4.590357743188132e-21]"
mgh09,3,15,bfgs_backtracking2,5.639663848431548e-9,1.1279327696863096e-8,2.742180117699917e-5,1.5521307719980087e-9,4,6,5,3.6214e-5,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.3989561382713217, 1.0000190844570773, 1.225054448470418e-20]"
