problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,ffjm2_ensemble,1.4396711520283465e-29,2.879342304056693e-29,3.794299872214038e-15,4.533409173378307e-14,3,10,4,5.966545909,true,gradient_converged,"[-1.2, 1.0]","[1.0000000000000049, 1.00000000000001]"
mgh01,2,2,bfgs_backtracking2,1.9811212969866065e-22,3.962242593973213e-22,1.4075231070879819e-11,3.687402878681231e-10,39,53,40,0.029705581,true,gradient_converged,"[-1.2, 1.0]","[1.0000000000118199, 1.0000000000220381]"
mgh02,2,2,ffjm2_ensemble,24.492126839620013,48.98425367924003,4.94895209510256,8.422552577238651e-10,15,38,16,0.828894663,true,gradient_converged,"[0.5, -2.0]","[11.412778986780623, -0.8968052532835531]"
mgh02,2,2,bfgs_backtracking2,1.1069296222061238e-26,2.2138592444122475e-26,1.0521072294239422e-13,2.198150974748396e-12,10,15,11,2.9312e-5,true,gradient_converged,"[0.5, -2.0]","[5.0000000000001155, 3.999999999999999]"
mgh03,2,2,ffjm2_ensemble,6.763212254583784e-13,1.3526424509167568e-12,8.22387515383337e-7,1.2916584376738925e-10,18,74,19,1.561786328,true,gradient_converged,"[0.0, 1.0]","[1.0994316877216817e-5, 9.095608314556184]"
mgh03,2,2,bfgs_backtracking2,5.053640174072107e-30,1.0107280348144214e-29,2.248030287623391e-15,2.830752396078957e-10,173,233,174,0.000250085,true,gradient_converged,"[0.0, 1.0]","[1.0981593296991694e-5, 9.10614673987187]"
mgh04,2,3,ffjm2_ensemble,0.0,0.0,0.0,0.0,6,61,7,0.363791219,true,residual_converged,"[1.0, 1.0]","[1.0e6, 2.0e-6]"
mgh04,2,3,bfgs_backtracking2,9.860761315271616e-32,1.972152263054323e-31,2.5639502485125845e-16,4.4408920985048613e-10,13,40,14,3.4129e-5,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0000000000000003e-6]"
mgh05,2,3,ffjm2_ensemble,1.644025384636575e-23,3.28805076927315e-23,3.3106146303836844e-12,2.0530078129773803e-11,7,16,8,0.338530756,true,gradient_converged,"[1.0, 1.0]","[2.9999999999898743, 0.4999999999983342]"
mgh05,2,3,bfgs_backtracking2,2.500895342872257e-22,5.001790685744514e-22,1.2912256045768447e-11,1.0795509381222512e-10,18,22,19,4.3845e-5,true,gradient_converged,"[1.0, 1.0]","[2.9999999999865765, 0.5000000000011922]"
mgh06,2,10,ffjm2_ensemble,1010.0,2020.0,14.212670403551895,4.822745531992369e-24,1,10,2,0.000139687,true,gradient_converged,"[0.3, 0.4]","[-55.07499321463552, -142.80668870583]"
mgh06,2,10,bfgs_backtracking2,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,10,2,3.1109e-5,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh07,3,3,ffjm2_ensemble,1.9020679278861015e-25,3.804135855772203e-25,3.560962349221627e-13,1.1400018833019595e-11,8,21,9,0.466625626,true,gradient_converged,"[-1.0, 0.0, 0.0]","[1.0000000000000056, -9.232368423364376e-14, -8.611699009885236e-14]"
mgh07,3,3,bfgs_backtracking2,5.236320261563365e-19,1.047264052312673e-18,5.908367096225129e-10,5.028697146926833e-9,29,41,30,6.3915e-5,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999980391, -6.108499822114774e-10, -9.957338127193799e-10]"
mgh08,3,15,ffjm2_ensemble,0.004107438653289491,0.008214877306578982,0.02340210433070636,5.3658810483819695e-11,6,15,7,0.284728091,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241055949189853, 1.1330360834701683, 2.3436951868630715]"
mgh08,3,15,bfgs_backtracking2,0.004107438653289492,0.008214877306578983,0.023402104330706365,7.394161492709181e-10,27,34,28,0.000133887,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241055957207155, 1.1330360875689756, 2.3436951829426325]"
mgh09,3,15,ffjm2_ensemble,5.639663860655076e-9,1.1279327721310153e-8,2.7421801206716468e-5,1.3681608968256241e-9,2,6,3,0.074402245,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.39895613601635477, 1.0000190656200574, 4.736279022790952e-13]"
mgh09,3,15,bfgs_backtracking2,5.639663848431548e-9,1.1279327696863096e-8,2.742180117699917e-5,1.5521307719980087e-9,4,6,5,3.659e-5,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.3989561382713217, 1.0000190844570773, 1.225054448470418e-20]"
mgh10,3,16,ffjm2_ensemble,27850.77510687367,55701.55021374734,59.00293965862386,514.7388020571625,1000,9135,1001,115.615618276,false,maximum_iterations,"[0.02, 4000.0, 250.0]","[0.04902938358402034, 4506.124489381405, 284.40416597161334]"
mgh10,3,16,bfgs_backtracking2,43.97292758504964,87.94585517009928,2.344486286616154,2.281500221901915,386,552,386,0.058029098,true,step_converged,"[0.02, 4000.0, 250.0]","[0.005609636498023731, 6181.346342284814, 345.2236344898585]"
mgh11,3,100,ffjm2_ensemble,7.05707520530799e-17,1.411415041061598e-16,1.1880298990604563e-9,3.207234647155468e-9,16,40,17,1.391756237,true,gradient_converged,"[5.0, 2.5, 0.15]","[49.99999545108975, 25.000000157045786, 1.4999999722539945]"
mgh11,3,100,bfgs_backtracking2,2.268388028358867e-20,4.536776056717734e-20,2.12997090513409e-11,7.169397077368946e-10,41,50,42,0.001373179,true,gradient_converged,"[5.0, 2.5, 0.15]","[50.00000004101474, 24.99999999797984, 1.5000000002059586]"
mgh12,3,10,ffjm2_ensemble,3.002277672322236e-21,6.004555344644472e-21,2.4504194221896935e-11,1.6544360218667573e-12,10,23,11,0.633323689,true,gradient_converged,"[0.0, 10.0, 20.0]","[1.0000000002578389, 9.999999996384599, 0.99999999980952]"
mgh12,3,10,bfgs_backtracking2,1.5797638860152974e-21,3.1595277720305947e-21,1.7775060540067353e-11,3.202002460898708e-11,40,53,41,0.000233293,true,gradient_converged,"[0.0, 10.0, 20.0]","[0.9999999998057129, 10.000000000994103, 1.0000000001066744]"
mgh13,4,4,ffjm2_ensemble,8.292460016080695e-13,1.658492003216139e-12,6.439122617282845e-7,4.647932194862923e-9,11,27,12,0.670849749,true,gradient_converged,"[3.0, -1.0, 0.0, 1.0]","[-0.00028897309693855233, 2.8897315474679195e-5, 0.0004994846378829473, 0.0004994846905360939]"
mgh13,4,4,bfgs_backtracking2,1.5664898045692352e-14,3.1329796091384704e-14,8.850112441571675e-8,3.6077857126618616e-9,44,55,45,0.000105932,true,gradient_converged,"[3.0, -1.0, 0.0, 1.0]","[-0.00013885976630444033, 1.3886013267357531e-5, 0.00017345765925713658, 0.00017345768760752015]"
mgh14,4,6,ffjm2_ensemble,1.0538688655686955e-30,2.107737731137391e-30,5.926969055564841e-16,2.3758316914912085e-14,3,15,4,0.18921783,true,gradient_converged,"[-3.0, -1.0, -3.0, -1.0]","[1.0000000000000002, 1.0000000000000004, 0.9999999999999998, 0.9999999999999994]"
mgh14,4,6,bfgs_backtracking2,3.5215347722240323e-22,7.0430695444480645e-22,1.0834412416345787e-11,5.460932614607619e-10,30,44,31,6.3888e-5,true,gradient_converged,"[-3.0, -1.0, -3.0, -1.0]","[1.0000000000026648, 1.0000000000053089, 0.9999999999956606, 0.9999999999940318]"
mgh15,4,11,ffjm2_ensemble,0.00015375280192461954,0.0003075056038492391,0.005287254003297493,6.052428324114688e-11,19,68,20,1.43435408,true,gradient_converged,"[0.25, 0.39, 0.415, 0.39]","[0.19280693460642825, 0.19128233282299104, 0.12305650988739596, 0.1360623323612763]"
mgh15,4,11,bfgs_backtracking2,0.00015375280192461875,0.0003075056038492375,0.00528725400329748,4.1328610828486283e-10,32,39,33,0.000142014,true,gradient_converged,"[0.25, 0.39, 0.415, 0.39]","[0.1928069347239284, 0.1912823316622282, 0.12305651047326634, 0.1360623320002761]"
mgh16,4,20,ffjm2_ensemble,42911.100813178244,85822.20162635649,65.50656517722345,0.0006965165858471371,131,1090,132,8.101052789,true,function_converged,"[25.0, 5.0, -5.0, -1.0]","[-11.594439885631958, 13.203630055123133, -0.4034397047438612, 0.23677852348584377]"
mgh16,4,20,bfgs_backtracking2,42911.10081317813,85822.20162635625,65.50656517722337,2.831466234757188e-5,25,72,26,0.000356989,true,function_converged,"[25.0, 5.0, -5.0, -1.0]","[-11.594439906504096, 13.203630051548341, -0.403439498811316, 0.2367787725247829]"
mgh17,5,33,ffjm2_ensemble,2.732447348742718e-5,5.464894697485436e-5,0.0012868677850531919,2.1936559241083746e-9,13,39,14,1.664500475,true,gradient_converged,"[0.5, 1.5, -1.0, 0.01, 0.02]","[0.3754100453558766, 1.9358461363292943, -1.4646863549348887, 0.012867533060928454, 0.022122702791925474]"
mgh17,5,33,bfgs_backtracking2,2.7324473487415025e-5,5.464894697483005e-5,0.0012868677850529056,8.22766944545086e-9,58,90,59,0.000898346,true,gradient_converged,"[0.5, 1.5, -1.0, 0.01, 0.02]","[0.37541005208128053, 1.9358469099543332, -1.4646871338370433, 0.012867534634315406, 0.022122699673089035]"
mgh18,6,13,ffjm2_ensemble,3.053155393117086e-17,6.106310786234172e-17,2.1672937371886294e-9,1.6988670832190502e-11,29,82,30,3.055708825,true,gradient_converged,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[1.0000003822870507, 9.999997900780254, 1.0000006088839728, 5.00000168867021, 4.000001894969526, 3.0000013016807996]"
mgh18,6,13,bfgs_backtracking2,0.0028278249627500095,0.005655649925500019,0.020857852101048954,1.2767277303440512e-8,40,44,41,0.000287314,true,gradient_converged,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[1.7114159863737772, 17.68319876090973, 1.1631436528669623, 5.186561815073127, 1.7114159863737424, 1.1631436528669745]"
mgh19,11,65,ffjm2_ensemble,0.043835560873219194,0.08767112174643839,0.03672582862791178,1.181613619907523e-7,52,202,53,7.428405055,true,function_converged,"[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]","[2.8290428479181613, 1.4716841470025115, -0.48183427352379854, -0.5966351365431934, 0.5639774258375526, 0.3627867737528655, 2.3782653555393467, 5.074676304205602, -0.15752072197815806, 4.603402821179557, 5.6336938266865575]"
mgh19,11,65,bfgs_backtracking2,0.13737733322905482,0.27475466645810964,0.0650153433320651,8.291793370574357e-10,112,147,113,0.004819464,true,gradient_converged,"[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]","[5.880605222351691, 5.393167465065706, 0.3862698372308295, -0.33418400565374257, 0.45758891652510447, 0.10813920406390205, 2.136907652732453, 8.659131266777734, -1.2983378001559533, 3.327714099883609, 5.578612590740302]"
mgh20,6,31,ffjm2_ensemble,0.001143835026776229,0.002287670053552458,0.008590448659942712,1.1604954568405122e-9,5,15,6,0.354463263,true,gradient_converged,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.01572508718956808, 1.0124348694621226, -0.23299162693451592, 1.2604300867554785, -1.513728919468299, 0.9929964293347877]"
mgh20,6,31,bfgs_backtracking2,0.001143835026776227,0.002287670053552454,0.008590448659942705,7.070265396972292e-9,38,49,39,0.001023747,true,gradient_converged,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0]","[-0.01572508578600947, 1.012434869020316, -0.23299162620512914, 1.2604300948122444, -1.513728935122457, 0.9929964395085128]"
mgh21,20,20,ffjm2_ensemble,1.7166510998275967e-16,3.4333021996551934e-16,4.143248845806388e-9,8.287603643849229e-9,2,8,3,0.263777087,true,gradient_converged,"[-1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0]","[1.0000000058545486, 1.000000011733031, 1.0000000058545486, 1.000000011733031, 1.0000000058545486, 1.000000011733031, 1.0000000058545486, 1.000000011733031, 1.0000000058545486, 1.000000011733031, 1.0000000058545486, 1.000000011733031, 1.0000000058545486, 1.000000011733031, 1.0000000058545486, 1.000000011733031, 1.0000000058545486, 1.000000011733031, 1.0000000058545486, 1.000000011733031]"
mgh21,20,20,bfgs_backtracking2,4.792660525704391e-18,9.585321051408782e-18,6.922904394619639e-10,1.4958338545043611e-9,149,228,150,0.000520381,true,gradient_converged,"[-1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0, -1.2, 1.0]","[0.9999999999573926, 0.9999999999138461, 0.9999999998718, 0.9999999997432568, 0.9999999999573926, 0.9999999999138461, 0.9999999998718, 0.9999999997432568, 0.9999999999012618, 0.9999999998026533, 0.9999999993631911, 0.9999999987238604, 1.0000000017579675, 1.0000000035238046, 0.9999999986620259, 0.9999999973186214, 1.0000000017081947, 1.0000000034252863, 0.9999999988532403, 0.9999999977019655]"
mgh22,20,20,ffjm2_ensemble,7.62183759425066e-14,1.524367518850132e-13,8.73031362223068e-8,9.110568941968628e-9,10,32,11,1.183448857,true,gradient_converged,"[3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0]","[-8.352269907091561e-7, 8.354012533365142e-8, 0.00020786910714421078, 0.00020786908977705367, -1.1197958802407299e-6, 1.1195491989117403e-7, -0.00023624703179356176, -0.00023624700702838165, -7.92737676808283e-8, 7.926880299612102e-9, -6.276262012346016e-5, -6.276261963257272e-5, -7.108453098723366e-7, 7.10982829009517e-8, 0.0001912849111351244, 0.0001912848974281024, -1.729245829624941e-6, 1.7297265129529784e-7, 0.0003053848092734925, 0.00030538476129949606]"
mgh22,20,20,bfgs_backtracking2,1.6533673492449174e-13,3.306734698489835e-13,1.2858333287191297e-7,1.5617134313730746e-8,111,136,112,0.000391397,true,gradient_converged,"[3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0, 3.0, -1.0, 0.0, 1.0]","[-0.04935520643722065, 0.004935520616147818, -0.04967652061843366, -0.04967652050515307, -0.04935520643722065, 0.004935520616147818, -0.04967652061843366, -0.04967652050515307, -1.831726060217566e-6, 1.8275897172289678e-7, -0.00027351479787165073, -0.000273514589454917, -7.353685213208271e-7, 7.359045701095743e-8, -0.00018714070324807585, -0.00018714053729089163, -1.377105768952104e-6, 1.3769887540658332e-7, -0.0002668677562203937, -0.0002668674622964137]"
mgh23,4,5,ffjm2_ensemble,1.124988752995326e-5,2.249977505990652e-5,0.0021213097397554427,7.917222121667265e-9,5,14,6,0.846233662,true,gradient_converged,"[1.0, 2.0, 3.0, 4.0]","[0.2500217548541166, 0.250028292395287, 0.24998667145644413, 0.2499932926757621]"
mgh23,4,5,bfgs_backtracking2,1.1249887504649548e-5,2.2499775009299096e-5,0.0021213097373697742,1.2053310757901526e-8,67,87,68,0.000102305,true,gradient_converged,"[1.0, 2.0, 3.0, 4.0]","[0.2500061873634139, 0.2500070661955428, 0.25000794502754564, 0.2500088238596234]"
mgh24,4,8,ffjm2_ensemble,1.7284107854280416e-6,3.4568215708560833e-6,0.000657345188129502,8.601369710783445e-9,17,44,18,11.162598799,true,gradient_converged,"[0.5, 0.5, 0.5, 0.5]","[0.19999958506544288, 0.12561474171179143, 0.4995838615902583, 0.5417524460539357]"
mgh24,4,8,bfgs_backtracking2,1.728410781798749e-6,3.456821563597498e-6,0.00065734518743936,6.288296516355331e-9,449,588,450,0.001560533,true,gradient_converged,"[0.5, 0.5, 0.5, 0.5]","[0.19999958844556714, 0.12555681284733242, 0.49959532408262197, 0.5417715809224214]"
mgh25,10,12,ffjm2_ensemble,0.0,0.0,0.0,0.0,5,52,6,0.297037948,true,residual_converged,"[0.9, 0.8, 0.7, 0.6, 0.5, 0.4, 0.30000000000000004, 0.19999999999999996, 0.09999999999999998, 0.0]","[1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0, 1.0]"
mgh25,10,12,bfgs_backtracking2,6.843629662967132e-26,1.3687259325934264e-25,1.0679910785338309e-13,7.2686179088993185e-12,15,23,16,4.7356e-5,true,gradient_converged,"[0.9, 0.8, 0.7, 0.6, 0.5, 0.4, 0.30000000000000004, 0.19999999999999996, 0.09999999999999998, 0.0]","[1.0000000000000009, 1.000000000000002, 1.0000000000000029, 1.0000000000000038, 1.0000000000000049, 1.0000000000000058, 1.0000000000000067, 1.0000000000000078, 1.0000000000000087, 1.0000000000000095]"
mgh26,10,10,ffjm2_ensemble,1.1909305988708278e-24,2.3818611977416556e-24,4.880431535982915e-13,1.4697999415677417e-12,7,19,8,0.549623657,true,gradient_converged,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.039268696601070845, 0.04010677845211945, 0.041023193965475734, 0.04203310941379432, 0.04315658956416092, 0.04442099814981843, 0.045865104291924176, 0.20116336522712844, 0.049557438447762905, 0.147278644538208]"
mgh26,10,10,bfgs_backtracking2,1.3975280609633234e-5,2.795056121926647e-5,0.0016718421342718478,1.1063616173351522e-8,33,36,34,0.000232668,true,gradient_converged,"[0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1, 0.1]","[0.05515090091097316, 0.056840612288120165, 0.05876399880342699, 0.06099060070504124, 0.06362620657703177, 0.06684320225678143, 0.20816152373712676, 0.16436308692667084, 0.08500685242041374, 0.09143148190274156]"
mgh27,10,10,ffjm2_ensemble,9.796030569475736e-24,1.959206113895147e-23,1.3997164405318482e-12,3.635489113531932e-13,8,21,9,0.514885567,true,gradient_converged,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.979430303344733, 0.9794303033447326, 0.9794303033447335, 0.9794303033447325, 0.979430303344734, 0.9794303033447329, 0.9794303033447335, 0.9794303033447331, 0.9794303033447321, 1.2056969665530997]"
mgh27,10,10,bfgs_backtracking2,5.734696633693305e-20,1.146939326738661e-19,1.0709525324395387e-10,3.6898775107620554e-9,16,20,17,5.4497e-5,true,gradient_converged,"[0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5, 0.5]","[0.9999999999924987, 0.9999999999924987, 0.9999999999924999, 0.9999999999924999, 0.9999999999924996, 0.9999999999924996, 0.9999999999925, 0.9999999999925, 0.9999999999925, 1.000000000181325]"
mgh28,10,10,ffjm2_ensemble,1.2244709108860364e-17,2.4489418217720728e-17,1.5649095251074654e-9,5.835667569249686e-10,3,8,4,0.113572226,true,gradient_converged,"[-0.08264462809917356, -0.1487603305785124, -0.1983471074380165, -0.23140495867768596, -0.24793388429752064, -0.24793388429752067, -0.23140495867768596, -0.1983471074380165, -0.14876033057851237, -0.08264462809917358]","[-0.04316497655377371, -0.08157714506506954, -0.11448569836330434, -0.14097355774171955, -0.15990867573600634, -0.16987718238920943, -0.16908996602804482, -0.1552495209241511, -0.12535588172172216, -0.0754165285934867]"
mgh28,10,10,bfgs_backtracking2,2.5338281178952867e-16,5.067656235790573e-16,7.118747246384418e-9,1.0863485608159909e-8,17,26,18,8.9486e-5,true,gradient_converged,"[-0.08264462809917356, -0.1487603305785124, -0.1983471074380165, -0.23140495867768596, -0.24793388429752064, -0.24793388429752067, -0.23140495867768596, -0.1983471074380165, -0.14876033057851237, -0.08264462809917358]","[-0.043165009102129524, -0.08157720585202943, -0.11448578191001824, -0.14097365729628758, -0.15990878537772069, -0.16987729166410287, -0.16909006496796802, -0.15524960354997544, -0.1253559415932989, -0.07541656045703544]"
mgh29,10,10,ffjm2_ensemble,1.0706851553516989e-23,2.1413703107033978e-23,1.4633421714361264e-12,5.947712426197822e-12,3,7,4,0.166526553,true,gradient_converged,"[-0.08264462809917356, -0.1487603305785124, -0.1983471074380165, -0.23140495867768596, -0.24793388429752064, -0.24793388429752067, -0.23140495867768596, -0.1983471074380165, -0.14876033057851237, -0.08264462809917358]","[-0.04316498251822147, -0.08157715653441365, -0.11448571437922388, -0.14097357686117357, -0.15990869618052903, -0.1698772023114155, -0.16908998377992457, -0.15524953522067927, -0.12535589167797753, -0.07541653368542163]"
