problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,ffjm2_psb_ipopt,2.415715183869406e-22,4.831430367738812e-22,1.554257116396578e-11,9.822187821578059e-12,7,12,8,6.579241624,true,gradient_converged,"[-1.2, 1.0]","[0.9999999999780371, 0.9999999999559862]"
mgh01,2,2,ffjm2_psb_bfgs,2.415720043314212e-22,4.831440086628424e-22,1.5542586796650716e-11,9.822149201052312e-12,7,12,8,0.179501671,true,gradient_converged,"[-1.2, 1.0]","[0.999999999978037, 0.9999999999559862]"
mgh01,2,2,ffjm2_psb_bobyqa,2.415720043314212e-22,4.831440086628424e-22,1.5542586796650716e-11,9.822149201052312e-12,7,12,8,0.125514272,true,gradient_converged,"[-1.2, 1.0]","[0.999999999978037, 0.9999999999559862]"
mgh02,2,2,ffjm2_psb_ipopt,5.096566894857947e-18,1.0193133789715894e-17,2.2575577279126104e-9,3.844848657895097e-9,6,10,7,0.442845164,true,gradient_converged,"[0.5, -2.0]","[4.999999997349221, 4.000000000045556]"
mgh02,2,2,ffjm2_psb_bfgs,5.096566894857947e-18,1.0193133789715894e-17,2.2575577279126104e-9,3.844848657895097e-9,6,10,7,0.007119396,true,gradient_converged,"[0.5, -2.0]","[4.999999997349222, 4.000000000045556]"
mgh02,2,2,ffjm2_psb_bobyqa,5.096561376900555e-18,1.019312275380111e-17,2.2575565058045736e-9,3.844846462323003e-9,6,10,7,0.03165376,true,gradient_converged,"[0.5, -2.0]","[4.999999997349223, 4.000000000045556]"
mgh03,2,2,ffjm2_psb_ipopt,1.5768358492067063e-11,3.1536716984134127e-11,3.970939245577432e-6,2.5682192018951107e-9,19,31,20,3.350524118,true,gradient_converged,"[0.0, 1.0]","[1.1042078588461355e-5, 9.056265919960095]"
mgh03,2,2,ffjm2_psb_bfgs,1.576835863671307e-11,3.153671727342614e-11,3.970939263790504e-6,2.5681941457035702e-9,19,31,20,0.193862356,true,gradient_converged,"[0.0, 1.0]","[1.1042078588733894e-5, 9.05626591973657]"
mgh03,2,2,ffjm2_psb_bobyqa,4.767584215874244e-10,9.535168431748489e-10,2.1834798409589782e-5,4.376484525721896e-9,99,126,100,3.587764065,true,gradient_converged,"[0.0, 1.0]","[1.1288587821901297e-5, 8.858503969898301]"
mgh04,2,3,ffjm2_psb_ipopt,3.811648262644354e-17,7.623296525288708e-17,5.040931304593331e-9,8.733972123808467e-9,7,10,8,0.697055166,true,gradient_converged,"[1.0, 1.0]","[999999.9999999913, 2.0000000000000173e-6]"
mgh04,2,3,ffjm2_psb_bfgs,3.811648262644354e-17,7.623296525288708e-17,5.040931304593331e-9,8.733972123808467e-9,7,10,8,0.175226082,true,gradient_converged,"[1.0, 1.0]","[999999.9999999913, 2.0000000000000173e-6]"
mgh04,2,3,ffjm2_psb_bobyqa,3.811648262644354e-17,7.623296525288708e-17,5.040931304593331e-9,8.733972123808467e-9,7,10,8,0.158464877,true,gradient_converged,"[1.0, 1.0]","[999999.9999999913, 2.0000000000000173e-6]"
mgh05,2,3,ffjm2_psb_ipopt,1.307511397756324e-16,2.615022795512648e-16,9.336349742650404e-9,6.948484539885081e-9,7,10,8,0.583241316,true,gradient_converged,"[1.0, 1.0]","[2.9999999595864884, 0.49999999003852813]"
mgh05,2,3,ffjm2_psb_bfgs,1.307511639803974e-16,2.615023279607948e-16,9.336350606826967e-9,6.948483661568852e-9,7,10,8,0.009570599,true,gradient_converged,"[1.0, 1.0]","[2.9999999595864844, 0.499999990038527]"
mgh05,2,3,ffjm2_psb_bobyqa,1.3075129340135355e-16,2.615025868027071e-16,9.336355227509057e-9,6.948488119156276e-9,7,10,8,0.03398853,true,gradient_converged,"[1.0, 1.0]","[2.9999999595864653, 0.4999999900385224]"
mgh06,2,10,ffjm2_psb_ipopt,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,11,2,0.000108276,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh06,2,10,ffjm2_psb_bfgs,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,11,2,6.0667e-5,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh06,2,10,ffjm2_psb_bobyqa,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,11,2,3.434e-5,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh07,3,3,ffjm2_psb_ipopt,1.492292815765749e-17,2.984585631531498e-17,3.1541431121259634e-9,6.034835182482049e-9,9,17,10,1.079742702,true,gradient_converged,"[-1.0, 0.0, 0.0]","[1.0000000000253437, 3.428771117687724e-9, 5.457254075864865e-9]"
