problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,ffjm2_bfgs,3.0526827536730453e-24,6.1053655073460905e-24,1.7471928209768505e-12,3.667562484439266e-11,2,8,3,5.230206938,true,gradient_converged,"[-1.2, 1.0]","[1.0000000000019136, 1.0000000000036708]"
mgh01,2,2,ffjm2_trust_bfgs,9.654893270903252e-27,1.9309786541806503e-26,9.825931645855904e-14,1.1123448315173165e-12,4,5,5,0.697089519,true,gradient_converged,"[-1.2, 1.0]","[1.0000000000001317, 1.000000000000259]"
mgh01,2,2,bfgs_backtracking2,1.9811212969866065e-22,3.962242593973213e-22,1.4075231070879819e-11,3.687402878681231e-10,39,53,40,0.028904079,true,gradient_converged,"[-1.2, 1.0]","[1.0000000000118199, 1.0000000000220381]"
mgh02,2,2,ffjm2_bfgs,24.492126839620006,48.98425367924001,4.948952095102559,9.287850084095668e-10,9,30,10,0.069012506,true,gradient_converged,"[0.5, -2.0]","[11.412778986875052, -0.8968052532781386]"
mgh02,2,2,ffjm2_trust_bfgs,24.492126839620013,48.98425367924003,4.94895209510256,1.3747711143740692e-9,8,9,9,0.077756256,true,gradient_converged,"[0.5, -2.0]","[11.412778983935945, -0.8968052534520712]"
mgh02,2,2,bfgs_backtracking2,1.1069296222061238e-26,2.2138592444122475e-26,1.0521072294239422e-13,2.198150974748396e-12,10,15,11,2.9039e-5,true,gradient_converged,"[0.5, -2.0]","[5.0000000000001155, 3.999999999999999]"
mgh03,2,2,ffjm2_bfgs,2.4305632492862285e-10,4.861126498572457e-10,1.559026378637074e-5,1.9305567260169245e-9,153,1443,154,3.568395624,true,gradient_converged,"[0.0, 1.0]","[1.0717429435520261e-5, 9.330595603918358]"
mgh03,2,2,ffjm2_trust_bfgs,0.0023300259499184975,0.004660051899836995,0.04827034234308368,0.00466847453605827,1000,1014,1001,10.713268201,false,maximum_iterations,"[0.0, 1.0]","[3.728076291701753e-5, 2.6823553666716107]"
mgh03,2,2,bfgs_backtracking2,5.053640174072107e-30,1.0107280348144214e-29,2.248030287623391e-15,2.830752396078957e-10,173,233,174,0.000253483,true,gradient_converged,"[0.0, 1.0]","[1.0981593296991694e-5, 9.10614673987187]"
mgh04,2,3,ffjm2_bfgs,9.860761315271616e-32,1.972152263054323e-31,2.5639502485125845e-16,4.4408920985048613e-10,5,48,6,0.020759384,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0000000000000003e-6]"
mgh04,2,3,ffjm2_trust_bfgs,0.0,0.0,0.0,0.0,23,24,24,0.34374587,true,residual_converged,"[1.0, 1.0]","[1.0e6, 2.0e-6]"
mgh04,2,3,bfgs_backtracking2,9.860761315271616e-32,1.972152263054323e-31,2.5639502485125845e-16,4.4408920985048613e-10,13,40,14,3.132e-5,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0000000000000003e-6]"
mgh05,2,3,ffjm2_bfgs,2.0536318718512032e-23,4.1072637437024064e-23,3.700118801562281e-12,1.0879451522857429e-11,8,19,9,0.064313958,true,gradient_converged,"[1.0, 1.0]","[2.999999999984804, 0.4999999999966543]"
mgh05,2,3,ffjm2_trust_bfgs,3.503294302231581e-26,7.006588604463162e-26,1.5282439382575853e-13,1.902520948163179e-13,8,9,9,0.074290612,true,gradient_converged,"[1.0, 1.0]","[3.000000000000655, 0.5000000000001702]"
mgh05,2,3,bfgs_backtracking2,2.500895342872257e-22,5.001790685744514e-22,1.2912256045768447e-11,1.0795509381222512e-10,18,22,19,3.7658e-5,true,gradient_converged,"[1.0, 1.0]","[2.9999999999865765, 0.5000000000011922]"
mgh06,2,10,ffjm2_bfgs,1010.0,2020.0,14.212670403551895,4.822745531992369e-24,1,10,2,8.1834e-5,true,gradient_converged,"[0.3, 0.4]","[-55.07499321463552, -142.80668870583]"
mgh06,2,10,ffjm2_trust_bfgs,62.181091177807396,124.36218235561479,3.5265022664903363,3.1041832448587047e-10,13,24,14,0.218602562,true,gradient_converged,"[0.3, 0.4]","[0.2578252136703735, 0.25782521367036115]"
mgh06,2,10,bfgs_backtracking2,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,10,2,2.7572e-5,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh07,3,3,ffjm2_bfgs,2.5647759993251384e-24,5.129551998650277e-24,1.3076125826164105e-12,4.815108630922691e-12,8,21,9,0.088248154,true,gradient_converged,"[-1.0, 0.0, 0.0]","[1.0000000000000315, 1.4013411972854017e-12, 2.2404845479761673e-12]"
mgh07,3,3,ffjm2_trust_bfgs,3.041768435899148e-22,6.083536871798296e-22,1.4240244463957651e-11,4.6311278617963975e-10,7,8,8,0.079875025,true,gradient_converged,"[-1.0, 0.0, 0.0]","[1.00000000000005, 1.90782675437871e-12, 5.710852945445959e-13]"
mgh07,3,3,bfgs_backtracking2,5.236320261563365e-19,1.047264052312673e-18,5.908367096225129e-10,5.028697146926833e-9,29,41,30,6.4123e-5,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999980391, -6.108499822114774e-10, -9.957338127193799e-10]"
mgh08,3,15,ffjm2_bfgs,0.0041074386532894865,0.008214877306578973,0.02340210433070635,9.507378815097895e-11,7,18,8,0.063095748,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241055971479236, 1.133036090612588, 2.343695180010766]"
mgh08,3,15,ffjm2_trust_bfgs,0.004107438653289484,0.008214877306578968,0.023402104330706344,2.24426106785091e-10,5,6,6,0.049432005,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241056039936578, 1.133036113178164, 2.343695158390501]"
mgh08,3,15,bfgs_backtracking2,0.004107438653289492,0.008214877306578983,0.023402104330706365,7.394161492709181e-10,27,34,28,0.000113802,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241055957207155, 1.1330360875689756, 2.3436951829426325]"
mgh09,3,15,ffjm2_bfgs,5.639664354723257e-9,1.1279328709446514e-8,2.7421802407873087e-5,8.619500075099817e-9,2,6,3,0.011742482,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.39895612618002657, 1.0000189646510829, -3.575184951733936e-21]"
mgh09,3,15,ffjm2_trust_bfgs,5.6396638480921236e-9,1.1279327696184247e-8,2.7421801176173978e-5,5.843631849377809e-13,2,3,3,0.017235578,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.39895613783958317, 1.000019084496091, 4.633612659153929e-17]"
mgh09,3,15,bfgs_backtracking2,5.639663848431548e-9,1.1279327696863096e-8,2.742180117699917e-5,1.5521307719980087e-9,4,6,5,3.389e-5,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.3989561382713217, 1.0000190844570773, 1.225054448470418e-20]"
mgh10,3,16,ffjm2_bfgs,52624.656059472356,105249.31211894471,81.10537594656746,1203.9739372869876,1000,12967,1001,281.41150517,false,maximum_iterations,"[0.02, 4000.0, 250.0]","[0.09492675992706813, 4049.102953956588, 265.95655975574726]"
mgh10,3,16,ffjm2_trust_bfgs,43.9729275851777,87.9458551703554,2.3444862866195684,0.7973044011892656,64,140,65,3.157910415,false,trust_region_stalled,"[0.02, 4000.0, 250.0]","[0.0056096364710444884, 6181.346346284887, 345.22363462408646]"
mgh10,3,16,bfgs_backtracking2,43.97292758504964,87.94585517009928,2.344486286616154,2.281500221901915,386,552,386,0.001639603,true,step_converged,"[0.02, 4000.0, 250.0]","[0.005609636498023731, 6181.346342284814, 345.2236344898585]"
mgh11,3,100,ffjm2_bfgs,2.4076065665387403,4.815213133077481,0.2194359390135873,5.2977195986212005,1000,6780,1001,22.060250693,false,maximum_iterations,"[5.0, 2.5, 0.15]","[0.00861327609030317, 24.03622209141232, -0.34090267566224713]"
mgh11,3,100,ffjm2_trust_bfgs,1.2124634033619197,2.4249268067238394,0.1557217649117759,1.732529277477434,1000,1015,1001,16.137230527,false,maximum_iterations,"[5.0, 2.5, 0.15]","[5.1867304217012824e-5, 3.2010179820042164, -0.7854087242607131]"
mgh11,3,100,bfgs_backtracking2,0.4034352777462066,0.8068705554924132,0.08982597372099081,9.022248201838542e-10,152,245,153,0.005748124,true,gradient_converged,"[5.0, 2.5, 0.15]","[3.6360756155806216e-6, 0.0022122721512513872, -2.2028773084682087]"
mgh12,3,10,ffjm2_bfgs,4.510429222871621e-22,9.020858445743241e-22,9.497819984471827e-12,2.2164613802866625e-11,8,19,9,0.069633669,true,gradient_converged,"[0.0, 10.0, 20.0]","[1.0000000000500429, 9.999999998866167, 0.9999999999620716]"
