problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,ffjm2_trust_sr1,3.0162219970641827e-28,6.032443994128365e-28,1.736727381330813e-14,1.1344393378044688e-14,4,5,5,1.142348402,true,gradient_converged,"[-1.2, 1.0]","[0.9999999999999755, 0.9999999999999508]"
mgh01,2,2,bfgs_backtracking2,1.9811212969866065e-22,3.962242593973213e-22,1.4075231070879819e-11,3.687402878681231e-10,39,53,40,0.007436595,true,gradient_converged,"[-1.2, 1.0]","[1.0000000000118199, 1.0000000000220381]"
mgh02,2,2,ffjm2_trust_sr1,24.492126839620013,48.98425367924003,4.94895209510256,9.369922463958626e-10,8,9,9,0.077929073,true,gradient_converged,"[0.5, -2.0]","[11.41277898686881, -0.8968052532785276]"
mgh02,2,2,bfgs_backtracking2,1.1069296222061238e-26,2.2138592444122475e-26,1.0521072294239422e-13,2.198150974748396e-12,10,15,11,2.9019e-5,true,gradient_converged,"[0.5, -2.0]","[5.0000000000001155, 3.999999999999999]"
mgh03,2,2,ffjm2_trust_sr1,1.8281101463675358e-11,3.6562202927350717e-11,4.2756404740898595e-6,1.6579616488996978e-9,13,14,14,0.202265543,true,gradient_converged,"[0.0, 1.0]","[1.0913672817721582e-5, 9.162818206444944]"
mgh03,2,2,bfgs_backtracking2,5.053640174072107e-30,1.0107280348144214e-29,2.248030287623391e-15,2.830752396078957e-10,173,233,174,0.000215889,true,gradient_converged,"[0.0, 1.0]","[1.0981593296991694e-5, 9.10614673987187]"
mgh04,2,3,ffjm2_trust_sr1,2.7105054349633156e-20,5.421010869926631e-20,1.344248348821332e-10,8.662869034641127e-9,20,21,21,0.415457688,true,gradient_converged,"[1.0, 1.0]","[999999.9999999998, 1.999999999999992e-6]"
mgh04,2,3,bfgs_backtracking2,9.860761315271616e-32,1.972152263054323e-31,2.5639502485125845e-16,4.4408920985048613e-10,13,40,14,3.6377e-5,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0000000000000003e-6]"
mgh05,2,3,ffjm2_trust_sr1,8.578985603794944e-27,1.7157971207589888e-26,7.562621064064559e-14,5.2752419629166904e-14,7,8,8,0.071510444,true,gradient_converged,"[1.0, 1.0]","[2.999999999999673, 0.499999999999919]"
mgh05,2,3,bfgs_backtracking2,2.500895342872257e-22,5.001790685744514e-22,1.2912256045768447e-11,1.0795509381222512e-10,18,22,19,4.267e-5,true,gradient_converged,"[1.0, 1.0]","[2.9999999999865765, 0.5000000000011922]"
mgh06,2,10,ffjm2_trust_sr1,62.18109117780743,124.36218235561486,3.5265022664903376,7.894960149370948e-9,9,13,10,0.176911959,true,gradient_converged,"[0.3, 0.4]","[0.2578252136701908, 0.25782521367037303]"
mgh06,2,10,bfgs_backtracking2,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,10,2,5.2384e-5,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
