problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,ipopt,1.5488414601867197e-19,3.0976829203734394e-19,3.9355323149311324e-10,7.942270132082615e-9,47,109,49,0.39784663,true,LOCALLY_SOLVED,"[-1.2, 1.0]","[1.0000000004426604, 1.0000000008515835]"
mgh01,2,2,bfgs,1.9811212969866065e-22,3.962242593973213e-22,1.4075231070879819e-11,3.687402878681231e-10,39,53,40,0.011106814,true,gradient_converged,"[-1.2, 1.0]","[1.0000000000118199, 1.0000000000220381]"
mgh01,2,2,bobyqa,2.2732794033357226e-21,4.546558806671445e-21,4.767891990529696e-11,2.001527471739074e-10,231,231,0,0.001866202,true,XTOL_REACHED,"[-1.2, 1.0]","[1.0000000000671458, 1.0000000001336753]"
mgh01,2,2,mads,2.5581136520512437e-7,5.116227304102487e-7,0.0005057779801505047,0.003525029430718263,392,392,0,0.994995272,false,1,"[-1.2, 1.0]","[0.999309, 0.9986]"
mgh02,2,2,ipopt,8.181260670829009e-25,1.6362521341658018e-24,9.04503215628834e-13,4.54641744271184e-11,17,39,19,0.0046781,true,LOCALLY_SOLVED,"[0.5, -2.0]","[4.999999999999395, 4.000000000000035]"
mgh02,2,2,bfgs,1.1069296222061238e-26,2.2138592444122475e-26,1.0521072294239422e-13,2.198150974748396e-12,10,15,11,3.01e-5,true,gradient_converged,"[0.5, -2.0]","[5.0000000000001155, 3.999999999999999]"
mgh02,2,2,bobyqa,24.492126839620013,48.98425367924003,4.94895209510256,6.021168842250448e-7,123,123,0,0.000106184,false,SUCCESS,"[0.5, -2.0]","[11.412778932881963, -0.8968052578152512]"
mgh02,2,2,mads,24.49212711086939,48.98425422173878,4.948952122507288,0.012622857665523091,332,332,0,0.77120365,false,1,"[0.5, -2.0]","[11.41209705210322, -0.896817824232]"
mgh03,2,2,ipopt,7.840332791012184e-9,1.568066558202437e-8,8.854565371045709e-5,2.952344041850697e-8,111,413,113,0.066999477,true,LOCALLY_SOLVED,"[0.0, 1.0]","[1.1980936638725476e-5, 8.346592855420056]"
mgh03,2,2,bfgs,5.053640174072107e-30,1.0107280348144214e-29,2.248030287623391e-15,2.830752396078957e-10,173,233,174,0.000233909,true,gradient_converged,"[0.0, 1.0]","[1.0981593296991694e-5, 9.10614673987187]"
mgh03,2,2,bobyqa,0.003521093136754329,0.007042186273508658,0.05933879958976529,420427.5529712784,31,31,0,4.0546e-5,false,XTOL_REACHED,"[0.0, 1.0]","[2.1635083363006544e-7, 500.9999994582333]"
mgh03,2,2,mads,2.049199210995515e-7,4.09839842199103e-7,0.00045268081591729896,635.1089072658776,344,344,0,0.793548458,false,1,"[0.0, 1.0]","[100.46478283275643, 9.9600292e-7]"
mgh04,2,3,ipopt,7.987216665370669e-28,1.5974433330741338e-27,2.3075552236614216e-14,3.9968028886545446e-8,34,204,36,0.014911015,true,LOCALLY_SOLVED,"[1.0, 1.0]","[1.0e6, 1.99999999999996e-6]"
mgh04,2,3,bfgs,9.860761315271616e-32,1.972152263054323e-31,2.5639502485125845e-16,4.4408920985048613e-10,13,40,14,4.6568e-5,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0000000000000003e-6]"
mgh04,2,3,bobyqa,4.989995010005e11,9.97999002001e11,576772.341570167,998999.000000004,41,41,0,3.6957e-5,false,ROUNDOFF_LIMITED,"[1.0, 1.0]","[1001.0, 0.0019980000164572242]"
mgh04,2,3,mads,4.989995010005e11,9.97999002001e11,576772.341570167,998998.99999801,279,279,0,0.545617944,false,1,"[1.0, 1.0]","[1000.99999999998, 0.0020000000011]"
mgh05,2,3,ipopt,1.6986862346866793e-26,3.3973724693733586e-26,1.0641698594637604e-13,1.549422436305122e-13,14,22,16,0.004027528,true,LOCALLY_SOLVED,"[1.0, 1.0]","[3.0000000000004543, 0.5000000000001191]"
mgh05,2,3,bfgs,2.500895342872257e-22,5.001790685744514e-22,1.2912256045768447e-11,1.0795509381222512e-10,18,22,19,4.1331e-5,true,gradient_converged,"[1.0, 1.0]","[2.9999999999865765, 0.5000000000011922]"
mgh05,2,3,bobyqa,1.4797635743534334e-20,2.959527148706867e-20,9.932316192957993e-11,1.1191839515833028e-10,79,79,0,7.8888e-5,true,XTOL_REACHED,"[1.0, 1.0]","[2.999999999571605, 0.49999999989686433]"
mgh05,2,3,mads,2.231643064080004e-7,4.463286128160008e-7,0.00038571518543090865,0.0025816135794373726,317,317,0,0.634096834,false,1,"[1.0, 1.0]","[2.99898125, 0.499637]"
mgh06,2,10,ipopt,1009.9999999999999,2019.9999999999998,14.212670403551895,8.691617668789034e-17,1,2,3,0.000744172,true,LOCALLY_SOLVED,"[0.3, 0.4]","[-38.36788186715554, -99.6]"
mgh06,2,10,bfgs,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,10,2,2.867e-5,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh06,2,10,bobyqa,154.0188703977836,308.0377407955672,5.550114780755144,2099.726398350498,36,36,0,8.2845e-5,false,XTOL_REACHED,"[0.3, 0.4]","[0.3105440850347747, -499.5993833552209]"
mgh06,2,10,mads,129.79009547137284,259.5801909427457,5.0949012840559105,0.3284502400540532,340,340,0,0.614300092,false,1,"[0.3, 0.4]","[0.33148281641296, -399.5784531043999]"
mgh07,3,3,ipopt,1.2693402311413432e-16,2.5386804622826864e-16,9.199058760334644e-9,5.5571874668427106e-8,34,88,36,0.012393261,true,LOCALLY_SOLVED,"[-1.0, 0.0, 0.0]","[1.0000000001547027, -9.960486216614027e-9, -1.5533431107760742e-8]"
mgh07,3,3,bfgs,5.236320261563365e-19,1.047264052312673e-18,5.908367096225129e-10,5.028697146926833e-9,29,41,30,7.3503e-5,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999980391, -6.108499822114774e-10, -9.957338127193799e-10]"
mgh07,3,3,bobyqa,1.3736351443534484e-16,2.747270288706897e-16,9.569518080354407e-9,2.640704049321693e-8,189,189,0,0.000366063,false,XTOL_REACHED,"[-1.0, 0.0, 0.0]","[0.9999999998919823, 1.044365799400941e-8, 1.647043274524071e-8]"
