method,point_index,x
BFGS,1,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
BFGS,2,"[0.24509956198312804, 0.2507920952135023, 0.17779268582342347, 0.06864324329891003, 0.1023978756580293, 0.16705312324199548, 0.1901042461546636, 0.20765178445100635, 0.2445576059100857, 0.14291062757064166]"
BFGS,3,"[0.2450772992127367, 0.2507961292476853, 0.17709678561873005, 0.06737323928715573, 0.10138901041997021, 0.16635551972091334, 0.1895497170460985, 0.20724265753007964, 0.24409533544639517, 0.14420117695623227]"
BFGS,4,"[0.25012101977865386, 0.24960645027205206, 0.0643916404769308, 0.14534322118234796, 0.14984105841447012, 0.08425595510362081, 0.08851026427380304, 0.11049852445894734, 0.04907609059676929, 0.1085664500615087]"
BFGS,5,"[0.2514165578833255, 0.24925707561843716, 0.053804857283603305, 0.14646478955314768, 0.15130410767398497, 0.08733060504936926, 0.08861400137668399, 0.10956281130804232, 0.0036934119607667446, 0.10219923243098823]"
BFGS,6,"[0.2514312144494483, 0.2492532520638079, 0.05370136723083388, 0.14648073817849375, 0.15131448140955214, 0.0873566104174097, 0.0886113989036402, 0.10955645316140472, 0.003196508788539368, 0.10212985659356615]"
BFGS,7,"[0.26021272058755707, 0.24734290027872452, 0.03135836440263835, 0.1529431488821388, 0.14458630562158314, 0.09360194283628025, 0.08791128541491255, 0.12288162497704799, 0.003859085494865194, 0.10194738093710458]"
BFGS,8,"[0.2921783018246207, 0.23938834701534087, 0.03739713701050551, 0.1677817897980233, 0.11769117625894623, 0.0909020504955991, 0.0664089182268275, 0.14926016162479702, 0.00040354319365614334, 0.10306427543577815]"
BFGS,9,"[0.30452012367332126, 0.23631329409240215, 0.03868560407248675, 0.1638345058502216, 0.11955441977243753, 0.0920209664357483, 0.05871700419644956, 0.15528352053757302, -0.00021004748032259484, 0.1033264610937477]"
BFGS,10,"[0.35689821734014154, 0.2225475332240513, 0.044264421998830794, 0.14806080947115552, 0.12362007114665872, 0.10382429848036012, 0.028949074066037396, 0.1696962289709388, 2.6597957938805024e-5, 0.10535685546131197]"
BFGS,11,"[0.3957417963915692, 0.21013585595013973, 0.044453571471413926, 0.14473837348970284, 0.11812713437264956, 0.08888790911348468, 0.06993724323304479, 0.14054823372131967, -7.933057373754267e-6, 0.1068863963318166]"
BFGS,12,"[0.4578992761545238, 0.1464996630526631, 0.040691240431499125, 0.13658638347295626, 0.12846703475416169, 0.055007674789220196, 0.07655341378831561, 0.16834082912169818, -7.930822334219464e-5, 0.11047562848185855]"
BFGS,13,"[0.46293642691344505, 0.1414242893411148, 0.04053227401700829, 0.1364513242121491, 0.12744316773917166, 0.05782975870561046, 0.0749286655137271, 0.16667052000610544, -8.908940335861563e-5, 0.11073232574972387]"
BFGS,14,"[0.46816466672290413, 0.13449780351172652, 0.04025289147937408, 0.136233810012243, 0.1271332969647159, 0.057806536350073004, 0.0749950513583609, 0.16632138249449777, -8.090115808668265e-5, 0.11098878091430321]"
BFGS,15,"[0.47367120908249294, 0.12755983088898715, 0.04006446059035407, 0.1359009077607733, 0.12689053073047565, 0.0577502871982425, 0.07483765976647287, 0.16616007268596972, -8.384268083950794e-5, 0.11119483339221821]"
BFGS,16,"[0.47803873285401083, 0.12071968777087229, 0.03985031819402253, 0.13567810294564833, 0.12664220183878924, 0.05768598927797597, 0.0747970268854843, 0.16587409557045651, -8.117948066854414e-5, 0.11141494058406103]"
BFGS,17,"[0.48229364681496006, 0.11448559711260473, 0.03966021092615351, 0.13542120865545357, 0.1264086491916411, 0.05761576031233531, 0.07468988169277724, 0.16564895661904247, -8.123622716918523e-5, 0.1116151899210783]"
BFGS,18,"[0.4859331903723986, 0.1088034385938061, 0.03947074236393788, 0.1352005265852289, 0.1261789657949867, 0.0575459572764768, 0.07461338765651675, 0.16538602584135906, -8.001396767830097e-5, 0.1118240092218369]"
BFGS,19,"[0.48939441230843844, 0.1038243969880143, 0.039295455828749555, 0.13497357337847238, 0.12595445351328857, 0.05747214525604801, 0.07451826905812377, 0.16513907050321058, -7.942782091609562e-5, 0.11202764797775414]"
BFGS,20,"[0.4925701220301796, 0.09942746995857375, 0.039127913896065104, 0.1347610116699048, 0.12573423747001805, 0.05739721983427397, 0.07443083765886198, 0.16488042075670734, -7.853768089151113e-5, 0.1122346327044618]"
BFGS,21,"[0.4956573242435883, 0.09556082973801887, 0.03897022688902557, 0.1345499946417535, 0.12551751235378572, 0.05731944359592757, 0.07433776369202962, 0.16462559534872145, -7.781008525601659e-5, 0.11243988129045572]"
BFGS,22,"[0.4986567028835874, 0.09210666625862012, 0.03881963732472619, 0.13434636780236317, 0.1253041986349223, 0.057240247549873356, 0.0742465596040689, 0.16436672320608214, -7.700989039969834e-5, 0.1126456970524523]"
BFGS,23,"[0.49895642826142755, 0.09179575641822513, 0.03880526328247435, 0.13432633748697811, 0.12528314348215044, 0.05723215835189506, 0.07423726389902231, 0.1643408885533388, -7.693467341041869e-5, 0.11266615076531421]"
BFGS,24,"[0.4992620900273723, 0.09150560357861393, 0.0387912017954959, 0.13430651522345646, 0.12526214463368845, 0.05722386269898508, 0.07422790717152822, 0.16431477574405084, -7.68575724155168e-5, 0.11268667871001432]"
BFGS,25,"[0.49957862788640833, 0.09122771812561199, 0.03877728276408045, 0.13428670942848558, 0.12524116403590807, 0.05721537872793212, 0.07421841045907047, 0.16428861129096164, -7.67817021489383e-5, 0.11270719011503572]"
BFGS,26,"[0.499906506305809, 0.09095834859537469, 0.03876344144536201, 0.13426697861941148, 0.1252202027943676, 0.05720679604864301, 0.07420887892772966, 0.1642623224300133, -7.670526970327445e-5, 0.11272770368136398]"
BFGS,27,"[0.49994054873750016, 0.09093214602698214, 0.03876206458643685, 0.13426500756385085, 0.12521810710388487, 0.05720593082134256, 0.07420791986599688, 0.16425968766049187, -7.66976704192554e-5, 0.1127297526484067]"
BFGS,28,"[0.49997591758288795, 0.09090656153115452, 0.038760692268581476, 0.1342630373036171, 0.1252160097207048, 0.05720506013419231, 0.07420695711186459, 0.164257044380727, -7.669005361969392e-5, 0.11273180147071235]"
BFGS,29,"[0.5000126830355156, 0.09088153718994235, 0.038759323614599744, 0.13426106538588278, 0.1252139100814905, 0.05720418486910322, 0.07420599018312407, 0.16425439586896004, -7.668244878931163e-5, 0.1127338491837403]"
BFGS,30,"[0.5000046639577499, 0.021712438997422034, 0.03573302025485902, 0.1296404845165487, 0.1200318209950344, 0.05605210807932009, 0.07246177991199645, 0.1569861259294071, -5.649930990205632e-5, 0.11874513117928218]"
BFGS,31,"[0.5000049468359264, 0.018881665873660268, 0.03565451644975052, 0.12949288884999802, 0.1198770986919371, 0.055996081386507114, 0.07239660394168872, 0.15678928845362197, -5.5966950041694077e-5, 0.1188976616071088]"
BFGS,32,"[0.5000042855569198, 0.0053889078714196015, 0.03540040750453808, 0.12928509262369975, 0.1196262217897235, 0.055887124211910666, 0.07233160046316657, 0.15644920569678164, -5.510885689896738e-5, 0.11911189537224563]"
BFGS,33,"[0.5000042911731052, 0.004804987032578149, 0.03538952143121309, 0.129279492947925, 0.11962164062449993, 0.055883489533470734, 0.07233130052455951, 0.15644198966045553, -5.5080852222443244e-5, 0.11911848129402147]"
BFGS,34,"[0.5000042098062832, 0.0008589936103753429, 0.03544216752922305, 0.12918701296795146, 0.11974990485268645, 0.055816296134983255, 0.07236057541167776, 0.15644648711814638, -5.447032388954658e-5, 0.1192672832475232]"
BFGS,35,"[0.5000042225607314, 0.0006067663370535691, 0.03545057400419644, 0.12917126891759237, 0.1197668439472477, 0.055811838654813976, 0.07236225218812067, 0.15646046422070364, -5.44379013206741e-5, 0.11928016764617538]"
BFGS,36,"[0.5000042007253246, 0.00043109225216964747, 0.035463798633060636, 0.12915132862563303, 0.11978506126484144, 0.055809718206421, 0.0723647019238235, 0.15647824786727857, -5.4386387615893454e-5, 0.11929376427230708]"
BFGS,37,"[0.5000042431229755, 0.00028371524552303217, 0.03547957275837935, 0.12912764991432835, 0.11980072242517238, 0.05581005219404677, 0.07236704436019727, 0.15649684668793862, -5.434265090901992e-5, 0.119306939445622]"
BFGS,38,"[0.5000041693797292, 0.0002082679448614208, 0.03550488876007746, 0.12909913931171124, 0.11981378362774833, 0.0558111542950106, 0.07236894403201168, 0.15651111371149876, -5.42887122614952e-5, 0.11932128674498488]"
BFGS,39,"[0.5001702036201208, 0.00289194506813682, 0.07751955680219232, 0.08874776275650859, 0.12897897492866914, 0.05683858322027968, 0.07199193071716868, 0.16519125244761776, 3.1900192488959833e-6, 0.13616988209037093]"
BFGS,40,"[0.4996814461546465, 0.0032922719623404138, 0.07813950531893275, 0.08499055670600505, 0.12625696618348314, 0.05730056638814893, 0.07217233060569699, 0.16029405878747968, 1.0189592119331792e-5, 0.1370604880169003]"
BFGS,41,"[0.49967486031542974, 0.002444350535743493, 0.0783013961121979, 0.08501452080611857, 0.12593744917432786, 0.05726205762938469, 0.0721581516621528, 0.1592262419019332, 1.1017514432119942e-5, 0.13701312992123807]"
BFGS,42,"[0.49967258093075767, 0.002019009828548445, 0.07839286435886653, 0.08503696037164495, 0.1258281416481932, 0.0572372380658568, 0.07214244419021938, 0.15881794707401703, 1.132699773536357e-5, 0.13700213349658052]"
BFGS,43,"[0.4996699997233889, 0.0014532604863274796, 0.07849437346951066, 0.0850756138603959, 0.12570473630051301, 0.05719692584429782, 0.07211049100360041, 0.15835337851743186, 1.1695127481199534e-5, 0.13699130447752447]"
BFGS,44,"[0.499667298093064, 0.0007861098963652738, 0.07858731399535271, 0.08512849205628521, 0.12557567111172596, 0.057143207815300696, 0.07206311962172743, 0.15787517504643753, 1.2095956869003503e-5, 0.13698037144489286]"
BFGS,45,"[0.4996644963931855, 1.4598053482149263e-5, 0.07866748588525779, 0.0851948605856566, 0.12544185497883112, 0.05707709038250611, 0.07200134883088857, 0.15738958055266825, 1.2525710785378627e-5, 0.13696900427937386]"
BFGS,46,"[0.49966446737348874, 5.700526183758657e-6, 0.07866815123992, 0.08519565351101462, 0.1254404697576296, 0.057076312833854295, 0.07200059723200986, 0.1573846555627569, 1.2530287675698155e-5, 0.13696888411057798]"
BFGS,47,"[0.49966443717819703, -4.58825059857305e-6, 0.0786686851184018, 0.08519657376424696, 0.1254390305691924, 0.05707542104938608, 0.0719997174647637, 0.15737963160997143, 1.2535159688937222e-5, 0.13696875502267974]"
BFGS,48,"[0.4991503727943219, 7.643435042712974e-6, 0.07891164844924271, 0.10804989614734727, 0.09817357374730704, 0.04164073321799794, 0.05574212657320829, 0.06409570695925879, 0.00011472606440483589, 0.13574366683095587]"
BFGS,49,"[0.4991388655762293, 8.408392383651275e-6, 0.07657396186566753, 0.10717544503323459, 0.09798391665094366, 0.04130493411689614, 0.05383672742056151, 0.06772949590698552, 0.00011602743209150656, 0.13678010311523406]"
BFGS,50,"[0.49905480455999685, 9.372828593651233e-6, 0.07231655450471804, 0.11224188143979977, 0.09263948706174777, 0.03878872700250395, 0.04712634028303637, 0.05888177198455622, 0.00013507848907074065, 0.1375259175840778]"
BFGS,51,"[0.49902628341844424, 9.699973593296948e-6, 0.07032017256761414, 0.11441031649610604, 0.09062100833380178, 0.037759669346103975, 0.04434732357944706, 0.056431378179754896, 0.00014203152396815717, 0.13768533697113536]"
BFGS,52,"[0.498973657058655, 1.0374103659158366e-5, 0.06558659763022018, 0.1190248943517888, 0.08656578613868413, 0.035384206677474446, 0.03834546240646347, 0.053510191083586456, 0.00015565623385450713, 0.13795111682019365]"
BFGS,53,"[0.49892026049537214, 1.1144085430605351e-5, 0.05970616434220869, 0.12431695415768082, 0.08210957345855849, 0.03222076569528688, 0.03162340068043802, 0.05230665030009528, 0.00017041985330737498, 0.13822745975928877]"
BFGS,54,"[0.4988899506351406, 1.1654054923136877e-5, 0.05547170421558965, 0.1277926918625592, 0.07933432323716227, 0.02949972472681307, 0.027903740774564062, 0.05282569787505641, 0.00017976442433839863, 0.13840645587543052]"
BFGS,55,"[0.49885996374302705, 1.2213525833235054e-5, 0.050551280495231866, 0.13158687974427538, 0.07643619046676134, 0.025730286358224323, 0.02491165327208984, 0.05405417776721228, 0.00018996741936500041, 0.13859506301667235]"
BFGS,56,"[0.498855551208429, 1.229858660386618e-5, 0.0498001797934812, 0.1321402448955159, 0.07602299628745353, 0.025074079846913667, 0.024578426593941324, 0.054249226420944985, 0.00019151331253060066, 0.13862290487168588]"
BFGS,57,"[0.4988451080230716, 1.2496343980022734e-5, 0.04810896903422731, 0.13335376858421777, 0.075121878543316, 0.023442039248114947, 0.023907649570758034, 0.05465350206201778, 0.000195076561842773, 0.13868783272351146]"
BFGS,58,"[0.49884358675285917, 1.2524846176354238e-5, 0.047867738188257083, 0.13352724492327567, 0.07499289771231782, 0.02320607507894509, 0.023808550473625078, 0.05470961330211306, 0.00019558922842122193, 0.13869720121553086]"
BFGS,59,"[0.4988425353362012, 1.2544378506087572e-5, 0.04770377872601801, 0.13364541499168603, 0.0749049626613524, 0.02304384235775678, 0.02373942364085951, 0.05474684670545395, 0.00019594018809089605, 0.13870362780813997]"
BFGS,60,"[0.4988402337301901, 1.2640596474696767e-5, 0.04664803594716167, 0.13419502167230565, 0.07443157819495691, 0.023282510413376374, 0.022775351048038642, 0.055492404139287216, 0.0001970813120301333, 0.13872358320258446]"
BFGS,61,"[0.4988402337301895, 1.2640596474707265e-5, 0.04664803594711209, 0.13419502167232253, 0.07443157819492956, 0.02328251041342661, 0.022775351047823068, 0.05549240413933472, 0.0001970813120302032, 0.1387235832025865]"
BOBYQA,1,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
BOBYQA,2,"[0.25, 0.26, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
BOBYQA,3,"[0.24, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
BOBYQA,4,"[0.25, 0.25, 0.24, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
BOBYQA,5,"[0.25, 0.25, 0.25, 0.24, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
BOBYQA,6,"[0.24982916741787348, 0.2500276362180162, 0.24748237039282792, 0.23381243640772834, 0.24485359438297782, 0.2471077838797074, 0.24791152975103428, 0.24852328819170263, 0.24981089638960174, 0.2462694370882427]"
BOBYQA,7,"[0.24948102257232008, 0.25008394363875813, 0.2423776444867948, 0.22135171255336514, 0.2345024323893653, 0.241260589506543, 0.24367938363245772, 0.24552983824229338, 0.24942953815675528, 0.23918464457437694]"
BOBYQA,8,"[0.24871591440373078, 0.2502075286325519, 0.23146559434107739, 0.19580745589409865, 0.21332316001230872, 0.22896069857353832, 0.23466236744947533, 0.23914110370801367, 0.24863886317247447, 0.2289269217533635]"
BOBYQA,9,"[0.247082385493631, 0.2504709417939505, 0.20889250394550923, 0.14269505861932152, 0.1714492310837292, 0.20400748196005053, 0.21611104235176348, 0.22598604734555, 0.24707175943050594, 0.2158487294343934]"
BOBYQA,10,"[0.24529727889838213, 0.2507544847715286, 0.19832313839161006, 0.09887530596936203, 0.167399013799553, 0.19647380599667136, 0.20675376804201268, 0.21816018324490066, 0.2466808140541052, 0.28021280857812514]"
BOBYQA,11,"[0.2458063944975886, 0.25067252571440707, 0.20389609474821224, 0.09878268617815264, 0.17129739528419402, 0.17864179240107925, 0.21154479278710409, 0.2217574599866268, 0.2471011587519703, 0.2790293628407109]"
BOBYQA,12,"[0.2450220899727821, 0.25078856291390217, 0.1815691860254922, 0.0933119968853359, 0.17458560470883372, 0.17518224499948232, 0.19883777638310132, 0.21654173689652656, 0.2480990614218778, 0.24972913289447168]"
