dimension,model_solver,model_multistart,update,f_x,RMSD,gradient_norm,function_evaluations,gradient_evaluations,execution_time_seconds,iterations,convergence_type,converged,model_solves,model_iterations,model_solve_time_seconds,minimizer
3,ipopt,1,sr1,0.5042612363933519,0.05462411828291157,0.0009344301073239848,19,8,356.1527478,7,gradient_converged,true,6,18,3.489132442,"[0.22807733176334008, 0.021649031217276158, 0.18091000178145386]"
3,ipopt,10,sr1,0.5043054442334538,0.05462651263844498,0.062408530917369046,31,9,488.192248091,8,function_converged,true,7,696,0.15347409,"[0.23081145299737826, 0.020111380244716804, 0.1808183089942656]"
3,ipopt,100,sr1,0.5043054474332096,0.05462651281174421,0.06239097447588307,31,9,487.348849252,8,function_converged,true,7,7454,1.451666757,"[0.23081157421672516, 0.020111322726875464, 0.1808183067506914]"
3,bfgs,1,sr1,0.5042612366434007,0.054624118296454846,0.0005401944850241471,19,8,342.65306217,7,gradient_converged,true,6,45,0.07160326900000001,"[0.22808158427894615, 0.021646494928795543, 0.18090985697495504]"
3,bfgs,10,sr1,0.5064249249920909,0.05474118366734787,0.6423599961090716,64,15,962.175821857,14,function_converged,true,13,3054,0.17991893099999998,"[0.2485323265102542, 0.010253889511154777, 0.18039106178790854]"
3,bfgs,100,sr1,0.5043050145792294,0.054626489368304644,0.062401917761475106,31,9,487.787234342,8,function_converged,true,7,18675,0.9661101790000001,"[0.23079768167519316, 0.020119087324353645, 0.1808185416270886]"
3,bobyqa,1,sr1,0.5042762157616384,0.05462492959721614,0.029259072089510774,50,15,839.235177348,14,function_converged,true,13,541,0.07303455900000001,"[0.22648251899614075, 0.02251286645868578, 0.18095558100528356]"
3,bobyqa,10,sr1,0.5042625511036549,0.05462418949088782,0.01521211555532089,113,24,1719.355076657,23,function_converged,true,22,19345,0.331515034,"[0.22760388139740034, 0.02190242011778223, 0.18092240558919023]"
3,bobyqa,100,sr1,0.5065042522502703,0.0547454708753386,0.6504294696662247,49,12,732.159055289,11,function_converged,true,10,103369,1.7807589099999999,"[0.24895985043926952, 0.010024430710128937, 0.18031201671738498]"
3,mads,1,sr1,0.5048090330087381,0.05465378027434659,0.44699934149541304,215,42,3151.420118561,41,function_converged,true,40,2836,4.038926840999999,"[0.21896122654773392, 0.026449755408521597, 0.1810132165685339]"
3,mads,10,sr1,0.5048899719953438,0.05465816157895711,0.35640530256439656,39,11,672.155232527,10,function_converged,true,9,11405,21.109621332,"[0.21814647180664198, 0.02687134468638568, 0.181248564625107]"
3,mads,100,sr1,0.5043246654736708,0.0546275536536957,0.4432724756443483,21,7,488.638123876,6,function_converged,true,5,72378,134.25639761000002,"[0.2293376086307834, 0.020964461898121206, 0.18111901950106693]"
10,ipopt,1,sr1,0.3415823371781779,0.04495772749382843,0.5044821474506662,146,49,2994.501507047,48,function_converged,true,47,493,0.17762132399999997,"[-0.526621480982569, 0.1065833429049772, -0.020604403326274907, 0.18205619523085242, -0.021332571709397355, 0.06842059294271093, 0.02342474773409114, -0.0006614668829009597, 0.12580801326060712, 0.1746154686538626]"
10,ipopt,10,sr1,0.3414279549275497,0.04494756675247004,0.9041746382768067,182,60,3681.087896843,59,step_converged,true,58,11501,2.795876780000001,"[-2.1570683282099012, 0.1885660343692973, -0.018613132057738006, 0.18051677374774514, -0.02970372772554694, 0.04503377299629374, 0.05648559702715183, 0.003629594479712033, 0.12786020187257266, 0.17313860926959024]"
10,ipopt,100,sr1,0.35700543371923044,0.04596148591688213,0.7588651601093109,116,37,2126.472065646,36,function_converged,true,35,69235,14.575574954,"[-0.43316969108550024, 0.42630930008080276, -0.008302060032047684, 0.18192043448023748, -0.03306908584623381, 0.06308136257476508, 0.021849457414963195, 0.0009562202626376445, 0.14531033072871333, 0.18142278364411585]"
10,bfgs,1,sr1,0.34673581664244374,0.045295598271094216,2.799689471146622,131,38,2412.254436639,37,step_converged,true,36,838,0.11558904300000002,"[0.3406079712698315, 0.030460342206812853, -0.020674965072977863, 0.18436537378994144, -0.023507198269336886, 0.0513646712164886, 0.05035273292653698, -0.0066163288880273004, 0.13393467680042762, 0.177694402546571]"
10,bfgs,10,sr1,0.3415036574046855,0.04495254943403589,4.109843935958406,158,47,3034.684773394,46,step_converged,true,45,83304,8.171884207,"[0.1919120332654305, 0.014593924175453197, -0.014698641299829226, 0.18185637549122305, -0.01839282491487797, 0.06365198599992107, 0.03568307790072537, -0.007532027191874297, 0.12199049288744533, 0.17482504256220394]"
