dimension,model_solver,model_multistart,update,f_x,RMSD,gradient_norm,function_evaluations,gradient_evaluations,execution_time_seconds,iterations,convergence_type,converged,model_solves,model_iterations,model_solve_time_seconds,minimizer
3,ipopt,1,bfgs,0.5042612570816355,0.05462411940344113,0.000688435590924352,21,9,393.409024777,8,gradient_converged,true,7,26,3.566141187,"[0.22801216374447436, 0.021684554639993064, 0.18091206547309965]"
3,ipopt,10,bfgs,0.5042620439394505,0.05462416202162552,0.007545830531328699,58,16,945.724979501,15,gradient_converged,true,14,1437,0.288036792,"[0.2284427499756403, 0.02145024700492678, 0.18089806859341284]"
3,ipopt,100,bfgs,0.5042612911354686,0.05462412124788246,0.006787897838711743,42,12,700.212316293,11,function_converged,true,10,11432,2.0393020969999998,"[0.22815855826472145, 0.0216049387747445, 0.1809111026881646]"
3,bfgs,1,bfgs,0.5042614491375629,0.05462412980567287,0.008638521095109509,21,9,387.300182603,8,gradient_converged,true,7,55,0.07218306300000002,"[0.2278897987557806, 0.021755809187987023, 0.1809155360942465]"
3,bfgs,10,bfgs,0.5042797716633607,0.05462512219061311,0.03554223776911542,42,12,697.528428628,11,function_converged,true,10,2325,0.11403388700000001,"[0.2263140686557645, 0.02261469958784129, 0.18094414286864785]"
3,bfgs,100,bfgs,0.5042612363242908,0.05462411827917104,0.0010317374188387061,29,10,501.84388427,9,function_converged,true,8,21725,1.068394947,"[0.2280688391508612, 0.02165278467942743, 0.180910208998697]"
3,bobyqa,1,bfgs,0.5042618076258327,0.05462414922229329,0.005153520863378629,32,11,558.649756504,10,function_converged,true,9,409,0.07372407499999999,"[0.22838364416129633, 0.02148024531542628, 0.18090333051563226]"
3,bobyqa,10,bfgs,0.5042618475938645,0.05462415138706134,0.008367761600078575,49,15,807.83981833,14,gradient_converged,true,13,14709,0.253174285,"[0.22839063509722657, 0.021472691634087278, 0.1808994051472814]"
3,bobyqa,100,bfgs,0.5042652076175569,0.054624333373997275,0.07593725609581703,40,12,656.731292961,11,function_converged,true,10,116002,2.033972221,"[0.22875893786908275, 0.021306716630762484, 0.18087112572276892]"
3,mads,1,bfgs,0.5042866496254615,0.0546254947102542,0.049647067690157566,145,29,2147.687834469,28,function_converged,true,27,2066,2.8817430189999995,"[0.2260111147213716, 0.022760961138405537, 0.18097366977869375]"
3,mads,10,bfgs,0.5042612764849629,0.054624120454374196,0.0071468882104543385,122,28,1894.813065554,27,function_converged,true,26,33006,61.796389493999996,"[0.2280001791567416, 0.021687773501256783, 0.1809136916058136]"
3,mads,100,bfgs,0.5113627028105099,0.05500740686061873,3.7361409883658325,28,6,496.258002741,5,step_converged,true,4,54577,103.12948877699999,"[0.2718234697950635, -0.005277271735571393, 0.17989520530900935]"
10,ipopt,1,bfgs,0.34535809772159626,0.045205520014404865,1.7427585195315713,181,48,2905.293516261,47,function_converged,true,46,567,0.20055160800000002,"[0.3124842055595957, 0.0260564813275779, -0.01968923255061541, 0.18232753684308867, -0.012591090585314458, 0.07251667740632013, 0.018462223050790795, 0.0029947522629549792, 0.12190122279016735, 0.17463449037885168]"
10,ipopt,10,bfgs,0.35892594744668904,0.04608494520166823,6.2599769789903625,83,20,1229.218053015,19,function_converged,true,18,2744,0.6514144840000001,"[0.6092555999752572, -0.11585335672082091, -0.009919777936939071, 0.18062776513219847, -0.014459452417077185, 0.06181099256901561, 0.0011955204311074566, 0.06560688152210116, 0.12398309410950153, 0.1732031313675535]"
