problem,n,m,model_solver,model_multistart,update,f,sse,rmsd,gradient_norm,function_evaluations,gradient_evaluations,execution_time_seconds,iterations,convergence_type,converged,model_solves,model_iterations,model_solve_time_seconds,x0,minimizer
mgh01,2,2,ipopt,1,psb,2.292967579780719e-16,4.585935159561438e-16,1.514254793547215e-8,9.588818766907946e-9,195,50,5.871216709,49,gradient_converged,true,64,33,3.7698812139999993,"[-1.2, 1.0]","[0.9999999786034376, 0.9999999571185222]"
mgh01,2,2,ipopt,10,psb,2.3781177664568956e-22,4.756235532913791e-22,1.542114705998518e-11,4.7819984410384354e-11,11,8,0.0850064,7,gradient_converged,true,6,762,0.08403137,"[-1.2, 1.0]","[0.9999999999783928, 0.9999999999564898]"
mgh01,2,2,ipopt,100,psb,2.3793506029634366e-22,4.758701205926873e-22,1.5425143769065613e-11,9.870465642567202e-12,11,8,0.844650368,7,gradient_converged,true,6,7944,0.843539448,"[-1.2, 1.0]","[0.9999999999782059, 0.9999999999563176]"
mgh01,2,2,bfgs,1,psb,2.30815689268336e-16,4.61631378536672e-16,1.519261956570808e-8,9.984449660186417e-9,3721,828,0.225593395,827,gradient_converged,true,842,62,0.0805682469999999,"[-1.2, 1.0]","[0.9999999785368193, 0.9999999569754936]"
mgh01,2,2,bfgs,10,psb,7.10462071301707e-22,1.420924142603414e-21,2.665449439216034e-11,6.971474084580234e-11,11,8,0.001912929,7,gradient_converged,true,6,1449,0.001468781,"[-1.2, 1.0]","[0.9999999999623355, 0.9999999999248228]"
mgh01,2,2,bfgs,100,psb,1.2705030195406635e-22,2.541006039081327e-22,1.1271659236956481e-11,5.170142660642209e-11,11,8,0.015764149,7,gradient_converged,true,6,14806,0.015250401,"[-1.2, 1.0]","[0.9999999999843288, 0.9999999999683657]"
mgh01,2,2,bobyqa,1,psb,1.3209415567407536e-9,2.6418831134815072e-9,3.634475968748113e-5,2.303702861464983e-5,1004,1001,0.152193067,1000,maximum_iterations,false,999,28697,0.08564478999999989,"[-1.2, 1.0]","[0.9999486387526958, 0.9998970825228026]"
mgh01,2,2,bobyqa,10,psb,1.343470245029175e-23,2.68694049005835e-23,3.665337972178248e-12,4.850851793843257e-12,16,12,0.008365953,11,gradient_converged,true,11,12282,0.007576325,"[-1.2, 1.0]","[1.0000000000051683, 1.0000000000103764]"
mgh01,2,2,bobyqa,100,psb,1.3443101332346637e-19,2.6886202664693274e-19,3.6664835104424833e-10,1.7242630661031255e-9,11,8,0.049622105,7,gradient_converged,true,6,79751,0.04899816099999999,"[-1.2, 1.0]","[1.0000000005094012, 1.0000000010284835]"
mgh01,2,2,mads,1,psb,1.932979279356315e-16,3.86595855871263e-16,1.3903162515616061e-8,8.792644563326051e-9,367,104,16.110019628,103,gradient_converged,true,118,11646,16.053267872999996,"[-1.2, 1.0]","[0.9999999803542942, 0.9999999606284576]"
