method,point_index,function_evaluations,gradient_evaluations,RMSD,x
BFGS,1,1,1,0.31977291127904045,"[0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25, 0.25]"
BFGS,2,6,2,0.2789534704716277,"[0.24726780075341515, 0.25044635098201734, 0.22063783014615196, 0.17561252802367217, 0.18911649534801406, 0.2158683600985783, 0.22542420735102328, 0.23248482105320006, 0.27976841464786295, 0.07494175442368378]"
BFGS,3,11,3,0.23097144201902275,"[0.2455234612579806, 0.2506985705717538, 0.19513805406621282, 0.11306662429537648, 0.13819352326456885, 0.18665272102368893, 0.2041034913255263, 0.21727927423593382, 0.2872181723832286, 0.09126880258974818]"
BFGS,4,15,4,0.2284533182565442,"[0.24526367804986368, 0.2505334971816217, 0.199954386222004, 0.11189520322797304, 0.13487907112792613, 0.18676605305893773, 0.20511781441228694, 0.2178723530877808, 0.2990306377419113, 0.09302236456794001]"
BFGS,5,19,5,0.22588382317587313,"[0.24502414802265918, 0.25037202215998383, 0.204882210186326, 0.11076352442081851, 0.1314146823872567, 0.18686032215751486, 0.2061470397691356, 0.21853190314579546, 0.3108820555584714, 0.09478226133031792]"
BFGS,6,23,6,0.22327912344510775,"[0.24480458761016574, 0.2502140189401721, 0.20990420803096807, 0.1096801724422398, 0.12781795491362594, 0.18692983319602233, 0.20718093266894289, 0.21924193189378766, 0.3227271680657527, 0.09654201306673409]"
BFGS,7,29,7,0.22184222341887994,"[0.2447879983439325, 0.25014410532738657, 0.21309510490547035, 0.10938352560520002, 0.1252227285458689, 0.1868024560968399, 0.20771739462504293, 0.21980709203355972, 0.32902338495964323, 0.09748267962889785]"
BFGS,8,34,8,0.22037403915118978,"[0.24437037214206445, 0.25011882821233894, 0.21595812077754503, 0.11056668162069384, 0.12155788930426456, 0.18611692170607977, 0.20817420432567496, 0.21992835247101922, 0.3347993928056763, 0.09838645470226934]"
BFGS,9,39,9,0.21889589113750876,"[0.24395256414473457, 0.25009356465511945, 0.21882037295953868, 0.11175297064503721, 0.11789072975983819, 0.18542976069781442, 0.20863048975984647, 0.22004884490091522, 0.34057939786449465, 0.09929077819704198]"
BFGS,10,44,10,0.21699323260964645,"[0.2435014846677696, 0.2500723279050548, 0.22101719025627767, 0.11506126389537086, 0.1129976569767811, 0.1835596448633737, 0.20851330279810038, 0.21936515858572198, 0.348735853361264, 0.1005134920717199]"
