method,point_index,x
BFGS,1,"[0.25, 0.25]"
BFGS,2,"[0.23674652877492985, 0.22441032750783202]"
BFGS,3,"[0.1654029003037139, 0.24956554440409884]"
BFGS,4,"[0.17486459445601996, 0.205349865559638]"
BFGS,5,"[0.22022869009013007, 0.13086688346448155]"
BFGS,6,"[0.19255098601751203, 0.1548185721172724]"
BFGS,7,"[0.20009928299424987, 0.15060550974212505]"
BFGS,8,"[0.19994910504899413, 0.14987792692357105]"
BFGS,9,"[0.20000025718729883, 0.15000011889906117]"
BOBYQA,1,"[0.25, 0.25]"
BOBYQA,2,"[0.24, 0.25]"
BOBYQA,3,"[0.25, 0.24]"
BOBYQA,4,"[0.24513973332315936, 0.2312605602107462]"
BOBYQA,5,"[0.23523580522051196, 0.21388493912436224]"
BOBYQA,6,"[0.21308310527191732, 0.18057941578381803]"
BOBYQA,7,"[0.19983831048173806, 0.13662713061798884]"
BOBYQA,8,"[0.21260708994867503, 0.13792583570412364]"
BOBYQA,9,"[0.20529212358981513, 0.1465739467887932]"
BOBYQA,10,"[0.20310044615197215, 0.1488497463131283]"
BOBYQA,11,"[0.20145571222022599, 0.14949780097808615]"
BOBYQA,12,"[0.20046364447073894, 0.1496235053154326]"
BOBYQA,13,"[0.1996279601359423, 0.15017271537777258]"
BOBYQA,14,"[0.19996758143884222, 0.1499690436914935]"
BOBYQA,15,"[0.20003121032619542, 0.14997719008115842]"
BOBYQA,16,"[0.20000905483964002, 0.14999316482305855]"
BOBYQA,17,"[0.20000130000496188, 0.1499994785017893]"
BOBYQA,18,"[0.2000007205756697, 0.14999978057596838]"
BOBYQA,19,"[0.2000000083037464, 0.14999989149817394]"
BOBYQA,20,"[0.20000001675530601, 0.14999998140275955]"
ffjm2,1,"[0.25, 0.25]"
ffjm2,2,"[0.23674652877492988, 0.22441032750783202]"
ffjm2,3,"[0.2009457232935517, 0.1486880292068567]"
ffjm2,4,"[0.20000107888412869, 0.14999873369260958]"
ffjm2,5,"[0.20000000003018426, 0.1499999999799164]"
