Avaliacoes normais de quad_fun no two_dim_problem
tempo_s	n_calfun	RMSD	erro_quadratico_total
2.125	1	0.2627670283451458	1.7952092908188053
4.171	2	0.2543830015286125	1.6824784981343572
5.758	3	1.0000000000000002e27	3.380000000000001e56
5.765	4	1.0000000000000002e27	3.380000000000001e56
7.811	5	0.11771303550931586	0.3602653269492539
9.86	6	0.16604745198557613	0.7168656640834575
11.908	7	0.12519545547581515	0.4075214538667171
14.046	8	0.1037274653373351	0.27974406369800936
16.095	9	0.11491821760319475	0.34336111516447565
18.155	10	0.10954956601134933	0.31202879274514955
20.203	11	0.1098427968669461	0.3137014406123828
22.31	12	0.10159530353679683	0.26836174821908093
24.443	13	0.09812183745641365	0.25032526963139434
26.493	14	0.09122918263776204	0.21639185788360768
28.544	15	0.07828708769110312	0.15935057057801624
28.554	16	1.0000000000000002e27	3.380000000000001e56
30.602	17	0.08137851512180337	0.17218403080916905
32.653	18	0.08333039136300607	0.1805428072425057
34.704	19	0.0752610978479814	0.1472700540813692
36.761	20	0.07620346685667675	0.15098117738539243
38.895	21	0.07865428712391133	0.1608489189572378
40.948	22	0.07732625356375816	0.15546308674537215
43.0	23	0.07366092463044725	0.1410742272527232
45.049	24	0.07426994599286504	0.14341664682236033
