Pontos avaliados pelo MADS no full_dim_problem
Metodo = NOMAD MADS
tmax = 5.0
x0 = [0.1, 0.0996, 0.0992, 0.0988, 0.0984, 0.098, 0.0976, 0.0972, 0.0968, 0.0964, 0.096, 0.0956, 0.0952, 0.0948, 0.0944, 0.094, 0.0936, 0.0932, 0.0928, 0.0924, 0.092, 0.0916, 0.0912, 0.0908, 0.0904, 0.09, 0.0896, 0.0892, 0.0888, 0.0884, 0.088, 0.0876, 0.0872, 0.0868, 0.0864, 0.086, 0.0856, 0.0852, 0.0848, 0.0844, 0.084, 0.0836, 0.0832, 0.0828, 0.0824, 0.082, 0.0816, 0.0812, 0.0808, 0.0804, 0.08, 0.0796, 0.0792, 0.0788, 0.0784, 0.078, 0.0776, 0.0772, 0.0768, 0.0764, 0.076, 0.0756, 0.0752, 0.0748, 0.0744, 0.074, 0.0736, 0.0732, 0.0728, 0.0724, 0.072, 0.0716, 0.0712, 0.0708, 0.0704, 0.07, 0.0696, 0.0692, 0.0688, 0.0684, 0.068, 0.0676, 0.0672, 0.0668, 0.0664, 0.066, 0.0656, 0.0652, 0.0648, 0.0644, 0.064, 0.0636, 0.0632, 0.0628, 0.0624, 0.062, 0.0616, 0.0612, 0.0608, 0.0604, 0.06]
lb = 0.0 | ub = 0.5
rhobeg = 0.05 | rhoend = 0.001 | maxeval = 500

iter	f	x1	x2	x3	x4	x5	x6	x7	x8	x9	x10	x11	x12	x13	x14	x15	x16	x17	x18	x19	x20	x21	x22	x23	x24	x25	x26	x27	x28	x29	x30	x31	x32	x33	x34	x35	x36	x37	x38	x39	x40	x41	x42	x43	x44	x45	x46	x47	x48	x49	x50	x51	x52	x53	x54	x55	x56	x57	x58	x59	x60	x61	x62	x63	x64	x65	x66	x67	x68	x69	x70	x71	x72	x73	x74	x75	x76	x77	x78	x79	x80	x81	x82	x83	x84	x85	x86	x87	x88	x89	x90	x91	x92	x93	x94	x95	x96	x97	x98	x99	x100	x101
0	3.485135024868481	0.1	0.0996	0.0992	0.0988	0.0984	0.098	0.0976	0.0972	0.0968	0.0964	0.096	0.0956	0.0952	0.0948	0.0944	0.094	0.0936	0.0932	0.0928	0.0924	0.092	0.0916	0.0912	0.0908	0.0904	0.09	0.0896	0.0892	0.0888	0.0884	0.088	0.0876	0.0872	0.0868	0.0864	0.086	0.0856	0.0852	0.0848	0.0844	0.084	0.0836	0.0832	0.0828	0.0824	0.082	0.0816	0.0812	0.0808	0.0804	0.08	0.0796	0.0792	0.0788	0.0784	0.078	0.0776	0.0772	0.0768	0.0764	0.076	0.0756	0.0752	0.0748	0.0744	0.074	0.0736	0.0732	0.0728	0.0724	0.072	0.0716	0.0712	0.0708	0.0704	0.07	0.0696	0.0692	0.0688	0.0684	0.068	0.0676	0.0672	0.0668	0.0664	0.066	0.0656	0.0652	0.0648	0.0644	0.064	0.0636	0.0632	0.0628	0.0624	0.062	0.0616	0.0612	0.0608	0.0604	0.06
1	3.485135024868481	0.5	0.0996	0.0992	0.0988	0.0984	0.098	0.0976	0.0972	0.0968	0.0964	0.096	0.0956	0.0952	0.0948	0.0944	0.094	0.0936	0.0932	0.0928	0.0924	0.092	0.0916	0.0912	0.0908	0.0904	0.09	0.0896	0.0892	0.0888	0.0884	0.088	0.0876	0.0872	0.0868	0.0864	0.086	0.0856	0.0852	0.0848	0.0844	0.084	0.0836	0.0832	0.0828	0.0824	0.082	0.0816	0.0812	0.0808	0.0804	0.08	0.0796	0.0792	0.0788	0.0784	0.078	0.0776	0.0772	0.0768	0.0764	0.076	0.0756	0.0752	0.0748	0.0744	0.074	0.0736	0.0732	0.0728	0.0724	0.072	0.0716	0.0712	0.0708	0.0704	0.07	0.0696	0.0692	0.0688	0.0684	0.068	0.0676	0.0672	0.0668	0.0664	0.066	0.0656	0.0652	0.0648	0.0644	0.064	0.0636	0.0632	0.0628	0.0624	0.062	0.0616	0.0612	0.0608	0.0604	0.06
2	2.7124476460500695	0.1	0.5	0.0992	0.0988	0.0984	0.098	0.0976	0.0972	0.0968	0.0964	0.096	0.0956	0.0952	0.0948	0.0944	0.094	0.0936	0.0932	0.0928	0.0924	0.092	0.0916	0.0912	0.0908	0.0904	0.09	0.0896	0.0892	0.0888	0.0884	0.088	0.0876	0.0872	0.0868	0.0864	0.086	0.0856	0.0852	0.0848	0.0844	0.084	0.0836	0.0832	0.0828	0.0824	0.082	0.0816	0.0812	0.0808	0.0804	0.08	0.0796	0.0792	0.0788	0.0784	0.078	0.0776	0.0772	0.0768	0.0764	0.076	0.0756	0.0752	0.0748	0.0744	0.074	0.0736	0.0732	0.0728	0.0724	0.072	0.0716	0.0712	0.0708	0.0704	0.07	0.0696	0.0692	0.0688	0.0684	0.068	0.0676	0.0672	0.0668	0.0664	0.066	0.0656	0.0652	0.0648	0.0644	0.064	0.0636	0.0632	0.0628	0.0624	0.062	0.0616	0.0612	0.0608	0.0604	0.06
3	2.7124476460500695	0.5	0.5	0.0992	0.0988	0.0984	0.098	0.0976	0.0972	0.0968	0.0964	0.096	0.0956	0.0952	0.0948	0.0944	0.094	0.0936	0.0932	0.0928	0.0924	0.092	0.0916	0.0912	0.0908	0.0904	0.09	0.0896	0.0892	0.0888	0.0884	0.088	0.0876	0.0872	0.0868	0.0864	0.086	0.0856	0.0852	0.0848	0.0844	0.084	0.0836	0.0832	0.0828	0.0824	0.082	0.0816	0.0812	0.0808	0.0804	0.08	0.0796	0.0792	0.0788	0.0784	0.078	0.0776	0.0772	0.0768	0.0764	0.076	0.0756	0.0752	0.0748	0.0744	0.074	0.0736	0.0732	0.0728	0.0724	0.072	0.0716	0.0712	0.0708	0.0704	0.07	0.0696	0.0692	0.0688	0.0684	0.068	0.0676	0.0672	0.0668	0.0664	0.066	0.0656	0.0652	0.0648	0.0644	0.064	0.0636	0.0632	0.0628	0.0624	0.062	0.0616	0.0612	0.0608	0.0604	0.06
4	3.519998811789174	0.1	0.5	0.5	0.0988	0.0984	0.098	0.0976	0.0972	0.0968	0.0964	0.096	0.0956	0.0952	0.0948	0.0944	0.094	0.0936	0.0932	0.0928	0.0924	0.092	0.0916	0.0912	0.0908	0.0904	0.09	0.0896	0.0892	0.0888	0.0884	0.088	0.0876	0.0872	0.0868	0.0864	0.086	0.0856	0.0852	0.0848	0.0844	0.084	0.0836	0.0832	0.0828	0.0824	0.082	0.0816	0.0812	0.0808	0.0804	0.08	0.0796	0.0792	0.0788	0.0784	0.078	0.0776	0.0772	0.0768	0.0764	0.076	0.0756	0.0752	0.0748	0.0744	0.074	0.0736	0.0732	0.0728	0.0724	0.072	0.0716	0.0712	0.0708	0.0704	0.07	0.0696	0.0692	0.0688	0.0684	0.068	0.0676	0.0672	0.0668	0.0664	0.066	0.0656	0.0652	0.0648	0.0644	0.064	0.0636	0.0632	0.0628	0.0624	0.062	0.0616	0.0612	0.0608	0.0604	0.06
5	2.6510408745710174	0.1	0.5	0.0992	0.5	0.0984	0.098	0.0976	0.0972	0.0968	0.0964	0.096	0.0956	0.0952	0.0948	0.0944	0.094	0.0936	0.0932	0.0928	0.0924	0.092	0.0916	0.0912	0.0908	0.0904	0.09	0.0896	0.0892	0.0888	0.0884	0.088	0.0876	0.0872	0.0868	0.0864	0.086	0.0856	0.0852	0.0848	0.0844	0.084	0.0836	0.0832	0.0828	0.0824	0.082	0.0816	0.0812	0.0808	0.0804	0.08	0.0796	0.0792	0.0788	0.0784	0.078	0.0776	0.0772	0.0768	0.0764	0.076	0.0756	0.0752	0.0748	0.0744	0.074	0.0736	0.0732	0.0728	0.0724	0.072	0.0716	0.0712	0.0708	0.0704	0.07	0.0696	0.0692	0.0688	0.0684	0.068	0.0676	0.0672	0.0668	0.0664	0.066	0.0656	0.0652	0.0648	0.0644	0.064	0.0636	0.0632	0.0628	0.0624	0.062	0.0616	0.0612	0.0608	0.0604	0.06
6	2.6510408745710174	0.5	0.5	0.0992	0.5	0.0984	0.098	0.0976	0.0972	0.0968	0.0964	0.096	0.0956	0.0952	0.0948	0.0944	0.094	0.0936	0.0932	0.0928	0.0924	0.092	0.0916	0.0912	0.0908	0.0904	0.09	0.0896	0.0892	0.0888	0.0884	0.088	0.0876	0.0872	0.0868	0.0864	0.086	0.0856	0.0852	0.0848	0.0844	0.084	0.0836	0.0832	0.0828	0.0824	0.082	0.0816	0.0812	0.0808	0.0804	0.08	0.0796	0.0792	0.0788	0.0784	0.078	0.0776	0.0772	0.0768	0.0764	0.076	0.0756	0.0752	0.0748	0.0744	0.074	0.0736	0.0732	0.0728	0.0724	0.072	0.0716	0.0712	0.0708	0.0704	0.07	0.0696	0.0692	0.0688	0.0684	0.068	0.0676	0.0672	0.0668	0.0664	0.066	0.0656	0.0652	0.0648	0.0644	0.064	0.0636	0.0632	0.0628	0.0624	0.062	0.0616	0.0612	0.0608	0.0604	0.06
7	3.258028594935357	0.1	0.0	0.0992	0.5	0.0984	0.098	0.0976	0.0972	0.0968	0.0964	0.096	0.0956	0.0952	0.0948	0.0944	0.094	0.0936	0.0932	0.0928	0.0924	0.092	0.0916	0.0912	0.0908	0.0904	0.09	0.0896	0.0892	0.0888	0.0884	0.088	0.0876	0.0872	0.0868	0.0864	0.086	0.0856	0.0852	0.0848	0.0844	0.084	0.0836	0.0832	0.0828	0.0824	0.082	0.0816	0.0812	0.0808	0.0804	0.08	0.0796	0.0792	0.0788	0.0784	0.078	0.0776	0.0772	0.0768	0.0764	0.076	0.0756	0.0752	0.0748	0.0744	0.074	0.0736	0.0732	0.0728	0.0724	0.072	0.0716	0.0712	0.0708	0.0704	0.07	0.0696	0.0692	0.0688	0.0684	0.068	0.0676	0.0672	0.0668	0.0664	0.066	0.0656	0.0652	0.0648	0.0644	0.064	0.0636	0.0632	0.0628	0.0624	0.062	0.0616	0.0612	0.0608	0.0604	0.06
8	3.116211631787702	0.1	0.5	0.5	0.5	0.0984	0.098	0.0976	0.0972	0.0968	0.0964	0.096	0.0956	0.0952	0.0948	0.0944	0.094	0.0936	0.0932	0.0928	0.0924	0.092	0.0916	0.0912	0.0908	0.0904	0.09	0.0896	0.0892	0.0888	0.0884	0.088	0.0876	0.0872	0.0868	0.0864	0.086	0.0856	0.0852	0.0848	0.0844	0.084	0.0836	0.0832	0.0828	0.0824	0.082	0.0816	0.0812	0.0808	0.0804	0.08	0.0796	0.0792	0.0788	0.0784	0.078	0.0776	0.0772	0.0768	0.0764	0.076	0.0756	0.0752	0.0748	0.0744	0.074	0.0736	0.0732	0.0728	0.0724	0.072	0.0716	0.0712	0.0708	0.0704	0.07	0.0696	0.0692	0.0688	0.0684	0.068	0.0676	0.0672	0.0668	0.0664	0.066	0.0656	0.0652	0.0648	0.0644	0.064	0.0636	0.0632	0.0628	0.0624	0.062	0.0616	0.0612	0.0608	0.0604	0.06
9	3.1462583954553716	0.1	0.5	0.0992	0.5	0.5	0.098	0.0976	0.0972	0.0968	0.0964	0.096	0.0956	0.0952	0.0948	0.0944	0.094	0.0936	0.0932	0.0928	0.0924	0.092	0.0916	0.0912	0.0908	0.0904	0.09	0.0896	0.0892	0.0888	0.0884	0.088	0.0876	0.0872	0.0868	0.0864	0.086	0.0856	0.0852	0.0848	0.0844	0.084	0.0836	0.0832	0.0828	0.0824	0.082	0.0816	0.0812	0.0808	0.0804	0.08	0.0796	0.0792	0.0788	0.0784	0.078	0.0776	0.0772	0.0768	0.0764	0.076	0.0756	0.0752	0.0748	0.0744	0.074	0.0736	0.0732	0.0728	0.0724	0.072	0.0716	0.0712	0.0708	0.0704	0.07	0.0696	0.0692	0.0688	0.0684	0.068	0.0676	0.0672	0.0668	0.0664	0.066	0.0656	0.0652	0.0648	0.0644	0.064	0.0636	0.0632	0.0628	0.0624	0.062	0.0616	0.0612	0.0608	0.0604	0.06
