Pontos avaliados pelo MADS no two_dim_problem
Metodo = NOMAD MADS
tmax = 5.0
x0 = [0.2, 0.06]
lb = 0.0 | ub = 0.5
rhobeg = 0.05 | rhoend = 0.001 | maxeval = 500

iter	f	x1	x2
0	4.465211676768299	0.2	0.06
1	0.3068087986842893	0.1	0.16
2	3.380000000000001e56	0.0	0.46
3	12.94734491278164	0.3	0.0
4	3.380000000000001e56	0.2	0.0
5	3.380000000000001e56	0.0	0.26
6	3.380000000000001e56	0.2	0.36
7	3.380000000000001e56	0.0	0.0
8	3.380000000000001e56	0.2	0.26
9	3.380000000000001e56	0.1	0.26
10	2.4241728932171136	0.2	0.16
11	3.380000000000001e56	0.0	0.06
12	2.0898979819980195	0.175	0.11
13	3.380000000000001e56	0.075	0.11
14	1.5518742903727023	0.169	0.148
15	0.552637753582718	0.094	0.198
16	3.380000000000001e56	0.025	0.21
17	0.8027403794886643	0.133	0.164
18	3.380000000000001e56	0.061	0.194
19	0.5246028874032473	0.115	0.172
20	0.7622698000271703	0.121	0.134
21	0.3876082155358887	0.101	0.182
22	0.15910959473688505	0.086	0.17
23	3.380000000000001e56	0.072	0.169
24	0.27166569522912903	0.085	0.148
25	3.380000000000001e56	0.071	0.158
26	0.23734781900674565	0.093	0.16
27	0.2953798760117966	0.094	0.182
28	0.20484264566141414	0.087	0.157
29	0.11689105724334348	0.08	0.167
30	3.380000000000001e56	0.074	0.171
31	0.12769870235477834	0.079	0.18
32	3.380000000000001e56	0.073	0.177
33	0.13576942789660332	0.083	0.172
34	3.380000000000001e56	0.076	0.175
35	0.12134788974421898	0.081	0.173
36	0.1556801045545418	0.082	0.16
37	0.11731384277315177	0.08	0.175
38	0.10721122973468279	0.079	0.169
39	0.10483598720951866	0.078	0.167
40	0.14138984272849878	0.078	0.159
41	0.1127123920875312	0.08	0.171
42	0.09934079631668787	0.078	0.171
43	3.380000000000001e56	0.077	0.173
44	3.380000000000001e56	0.076	0.167
45	0.10627177265574636	0.079	0.17
46	3.380000000000001e56	0.077	0.168
47	0.13730923039782827	0.078	0.183
48	3.380000000000001e56	0.048	0.221
49	3.380000000000001e56	0.028	0.141
50	0.10587707547271016	0.079	0.171
51	3.380000000000001e56	0.077	0.167
52	3.380000000000001e56	0.058	0.17
53	0.20721062971131277	0.077	0.191
54	3.380000000000001e56	0.077	0.171
55	3.380000000000001e56	0.068	0.17
56	0.11709426464563057	0.077	0.181

Resumo final
status_mads = 1
solucao_factivel = true
f_final = 0.099341
x_final = [0.078, 0.171]
avaliacoes_mads = 57
