problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,ffjm2_bfgs,7.794314929983303e-15,1.5588629859966606e-14,8.8285417425435e-8,2.2219521383428708e-7,2,8,3,9.177111573,true,gradient_converged,"[-1.2, 1.0]","[0.9999998760000692, 0.9999997505419116]"
mgh02,2,2,ffjm2_bfgs,24.492126839859463,48.984253679718925,4.948952095126751,0.00021088437866340849,5,18,6,3.497695479,true,function_converged,"[0.5, -2.0]","[11.412748598155728, -0.8968075243712947]"
mgh03,2,2,ffjm2_bfgs,0.05345941271945277,0.10691882543890555,0.2312129164200235,0.10695501602423603,4,35,5,4.513402229,true,step_converged,"[0.0, 1.0]","[8.950703277118447e-5, 1.1172633109299779]"
mgh04,2,3,ffjm2_bfgs,3.2254885133710642e-21,6.4509770267421284e-21,4.63716041946007e-11,8.031797449356264e-5,4,34,5,1.715707469,true,step_converged,"[1.0, 1.0]","[1.0e6, 1.999999999919682e-6]"
mgh05,2,3,ffjm2_bfgs,1.257822972242326e-5,2.515645944484652e-5,0.0028957704469822028,0.007403453580310545,6,15,7,4.347299537,true,gradient_converged,"[1.0, 1.0]","[2.988013187510326, 0.49729833751647673]"
mgh06,2,10,ffjm2_bfgs,1010.0,2020.0,14.212670403551895,4.822745531992369e-24,1,10,2,7.8463e-5,true,gradient_converged,"[0.3, 0.4]","[-55.07499321463552, -142.80668870583]"
mgh07,3,3,ffjm2_bfgs,8.528030492721004e-17,1.7056060985442008e-16,7.540128421859938e-9,2.454860348297947e-7,11,42,12,16.307942817,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999993857, 8.111614476901535e-10, -1.498400772084957e-11]"
mgh08,3,15,ffjm2_bfgs,0.004107456500117138,0.008214913000234275,0.023402155171741875,0.000601702921043974,4,11,5,3.097410055,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08239605137507931, 1.1316569257063536, 2.3449769667875486]"
mgh09,3,15,ffjm2_bfgs,1.9440534955834423e-6,3.888106991166885e-6,0.0005091238874227558,0.003725766405438842,0,1,1,3.6464e-5,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.4, 1.0, 0.0]"
mgh10,3,16,ffjm2_bfgs,3.4094721197953327e6,6.818944239590665e6,652.8277069598199,505376.23393809923,3,54,4,113.877494346,true,step_converged,"[0.02, 4000.0, 250.0]","[0.05903442448891787, 3999.993804673547, 250.15561921988945]"
