problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,ffjm2_psb,2.4060216858050475e-8,4.812043371610095e-8,0.00015511356116745717,9.804163570120591e-5,5,10,6,6.205411057,true,gradient_converged,"[-1.2, 1.0]","[0.9997808112316561, 0.999560794621488]"
mgh02,2,2,ffjm2_psb,2.683759563160683e-10,5.367519126321366e-10,1.638218411311716e-5,4.694401316239779e-5,5,9,6,0.366527323,true,gradient_converged,"[0.5, -2.0]","[4.999980778433865, 4.000000350499793]"
mgh03,2,2,ffjm2_psb,1.2227537502377315e-5,2.445507500475463e-5,0.0034967895993864594,2.9517996177248404e-5,10,24,11,1.913038095,true,gradient_converged,"[0.0, 1.0]","[1.8919424221756315e-5, 5.285573610136139]"
mgh04,2,3,ffjm2_psb,9.451384998618463e-8,1.8902769997236927e-7,0.0002510164005082598,0.00043477315921359094,6,9,7,0.633268566,true,gradient_converged,"[1.0, 1.0]","[999999.9995652268, 2.0000000008695466e-6]"
mgh05,2,3,ffjm2_psb,1.1008538242388946e-8,2.2017076484777892e-8,8.566811247439717e-5,0.0004493337424762138,6,9,7,0.561934318,true,gradient_converged,"[1.0, 1.0]","[2.999701464357592, 0.49994429529250195]"
mgh06,2,10,ffjm2_psb,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,11,2,0.000100067,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh07,3,3,ffjm2_psb,1.3086706255043109e-11,2.6173412510086218e-11,2.953721523213623e-6,9.592124857958058e-5,7,13,8,0.936463922,true,gradient_converged,"[-1.0, 0.0, 0.0]","[1.0000000456200295, 2.611488723755712e-7, -9.384377077032227e-8]"
mgh08,3,15,ffjm2_psb,0.004107438695275883,0.008214877390551765,0.023402104450314955,2.3911645070600823e-6,7,11,8,0.573635333,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241401684823099, 1.1331443729166044, 2.343591371743332]"
mgh09,3,15,ffjm2_psb,5.893423035768725e-9,1.178684607153745e-8,2.8031941390180178e-5,5.967097229080107e-6,1,4,2,9.4735e-5,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.39896464965319606, 1.0001039117801178, -2.2473565560822428e-21]"
mgh10,3,16,ffjm2_psb,43.972927585276175,87.94585517055235,2.3444862866221934,0.00027243095186325363,89,193,90,79.27320267,true,gradient_converged,"[0.02, 4000.0, 250.0]","[0.005609636471184946, 6181.3463462630525, 345.2236346233514]"
mgh11,3,100,ffjm2_psb,5.829335222496024e-6,1.1658670444992047e-5,0.0003414479527686767,0.00011501389640922324,13,26,14,3.370531562,true,gradient_converged,"[5.0, 2.5, 0.15]","[48.719697515695714, 25.044702077790348, 1.4920573583569254]"
mgh12,3,10,ffjm2_psb,1.0632152620647129e-8,2.1264305241294258e-8,4.61132358887275e-5,0.00016595062665418473,9,13,10,1.171120385,true,gradient_converged,"[0.0, 10.0, 20.0]","[1.0004710944968478, 9.997109775814641, 0.9997622739531372]"
mgh13,4,4,ffjm2_psb,1.1338659328249538e-5,2.2677318656499076e-5,0.002381035418494393,0.0005720489121712971,5,9,6,0.456797124,true,gradient_converged,"[3.0, -1.0, 0.0, 1.0]","[0.07421772037185118, -0.0074198348300132284, 0.025194057452729818, 0.025307039330552242]"
mgh14,4,6,ffjm2_psb,3.0532278709741187e-12,6.1064557419482374e-12,1.0088323070055002e-6,1.4840253193348164e-6,5,10,6,0.724177655,true,gradient_converged,"[-3.0, -1.0, -3.0, -1.0]","[1.0000013013335207, 1.000002606575126, 0.9999986992673753, 0.9999973936775959]"
mgh15,4,11,ffjm2_psb,0.00019026609707239003,0.00038053219414478005,0.005881652474546898,0.0002281381795355305,5,8,6,0.551986208,true,gradient_converged,"[0.25, 0.39, 0.415, 0.39]","[0.187331521933814, 0.4826593761983735, 0.26590169267256203, 0.2513175278690391]"
mgh16,4,20,ffjm2_psb,42911.10081317829,85822.20162635657,65.5065651772235,0.0008987163672123276,10,24,11,1.703183866,true,gradient_converged,"[25.0, 5.0, -5.0, -1.0]","[-11.594439660469137, 13.20362998468529, -0.40343923415832433, 0.23677826339801653]"
mgh17,5,33,ffjm2_psb,2.8325802437925935e-5,5.665160487585187e-5,0.0013102348260019036,0.0007520174041131412,10,26,11,4.992009703,true,gradient_converged,"[0.5, 1.5, -1.0, 0.01, 0.02]","[0.3734665097213818, 1.7492399879089624, -1.2765988725186752, 0.01244560665808085, 0.023003234415827526]"
mgh18,6,13,ffjm2_psb,0.002834033449197612,0.005668066898395224,0.020880736242537088,0.0008979195903302252,12,19,13,2.017402589,true,gradient_converged,"[1.0, 2.0, 1.0, 1.0, 1.0, 1.0]","[1.7163486557176828, 17.375293017722388, 1.1675949916451622, 5.071423797755125, 1.7163532354155278, 1.1675951689025013]"
mgh19,11,65,ffjm2_psb,0.04386412953818625,0.0877282590763725,0.03673779422137215,0.0003380900579912537,18,37,19,8.648428728,true,gradient_converged,"[1.3, 0.65, 0.65, 0.7, 0.6, 3.0, 5.0, 7.0, 2.0, 4.5, 5.5]","[2.662578368829722, 1.2953580942433418, -0.47933894237630276, -0.5933358907494213, 0.5482398429133173, 0.3938252989521082, 2.3708073820877096, 5.134713656147324, -0.05525871058259245, 4.604835052845007, 5.633884533766217]"
