problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,ffjm2_bfgs,2.3181325702314455e-22,4.636265140462891e-22,1.5225414839115043e-11,9.621707309893676e-12,7,12,8,0.893022594,true,gradient_converged,"[-1.2, 1.0]","[0.9999999999784852, 0.9999999999568844]"
mgh02,2,2,ffjm2_bfgs,5.727555454154957e-19,1.1455110908309914e-18,7.568061478446747e-10,1.2888906538443261e-9,6,10,7,0.453976611,true,gradient_converged,"[0.5, -2.0]","[4.999999999111375, 4.000000000015267]"
mgh03,2,2,ffjm2_bfgs,0.0004942767780511699,0.0009885535561023398,0.022232336315627512,0.0012194563648973665,1000,2008,1001,269.24471397,false,maximum_iterations,"[0.0, 1.0]","[2.893905171141753e-5, 3.45554131944347]"
mgh04,2,3,ffjm2_bfgs,0.0,0.0,0.0,0.0,8,11,9,1.448933875,true,residual_converged,"[1.0, 1.0]","[1.0e6, 2.0e-6]"
mgh05,2,3,ffjm2_bfgs,9.388387647270308e-20,1.8776775294540615e-19,2.5017843828316233e-10,1.6823565885622886e-10,8,12,9,0.655466572,true,gradient_converged,"[1.0, 1.0]","[2.999999998917102, 0.4999999997297442]"
mgh06,2,10,ffjm2_bfgs,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,11,2,0.000118315,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh07,3,3,ffjm2_bfgs,1.737833624092854e-25,3.475667248185708e-25,3.403756379935609e-13,2.951006852616019e-12,7,12,8,0.689231779,true,gradient_converged,"[-1.0, 0.0, 0.0]","[1.0000000000000004, -3.6524819163905027e-13, -5.642225772243287e-13]"
mgh08,3,15,ffjm2_bfgs,0.0041074386532895186,0.008214877306579037,0.02340210433070644,4.911365351710752e-10,8,12,9,0.89433147,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241056252064116, 1.1330361846630206, 2.3436950895771433]"
mgh09,3,15,ffjm2_bfgs,5.6396638481274045e-9,1.1279327696254809e-8,2.742180117625975e-5,6.846161197632193e-11,6,9,7,0.63583464,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.3989561379381875, 1.0000190854631414, 2.0612691495998328e-16]"
mgh10,3,16,ffjm2_bfgs,43.97292758516637,87.94585517033273,2.3444862866192664,0.0012383181871901507,116,256,117,156.347051526,false,regularization_stalled,"[0.02, 4000.0, 250.0]","[0.005609636471028667, 6181.346346286281, 345.22363462413347]"
mgh11,3,100,ffjm2_bfgs,2.15932829582681e-17,4.31865659165362e-17,6.571648645243916e-10,5.671799071235641e-11,16,26,17,2.740940022,true,gradient_converged,"[5.0, 2.5, 0.15]","[49.999997481797365, 25.00000008682689, 1.4999999845961387]"
mgh12,3,10,ffjm2_bfgs,3.44219910358581e-24,6.88439820717162e-24,8.297227372545374e-13,5.6273917450148965e-14,10,14,11,1.006572764,true,gradient_converged,"[0.0, 10.0, 20.0]","[0.9999999999912833, 10.000000000122416, 1.0000000000064413]"
mgh13,4,4,ffjm2_bfgs,4.827941952422998e-12,9.655883904845997e-12,1.5536959085392157e-6,9.148924366026464e-9,8,12,9,0.895666475,true,gradient_converged,"[3.0, -1.0, 0.0, 1.0]","[0.0018900951259065183, -0.0001890094545119233, 0.0006509148481656834, 0.0006509169347292481]"
mgh14,4,6,ffjm2_bfgs,1.6614085766148655e-17,3.322817153229731e-17,2.3533016357271795e-9,3.457595388273656e-9,6,11,7,0.918589698,true,gradient_converged,"[-3.0, -1.0, -3.0, -1.0]","[1.0000000030351752, 1.0000000060800665, 0.9999999969653584, 0.9999999939199233]"
mgh15,4,11,ffjm2_bfgs,0.0001537528019272747,0.0003075056038545494,0.005287254003343146,9.96237505519713e-9,14,21,15,2.02992489,true,gradient_converged,"[0.25, 0.39, 0.415, 0.39]","[0.19280703993707823, 0.19128102723053442, 0.12305668929400913, 0.13606170524808592]"
