Avaliacoes normais de quad_fun no full_dim_problem
tempo_s	n_calfun	RMSD	erro_quadratico_total
55.031	1	0.26276702835241766	1.7952092909181672
55.081	2	1.0000000000000002e27	3.380000000000001e56
105.405	3	0.544431364969134	7.706543290216016
155.495	4	0.6432462701252636	10.757909864781652
205.126	5	0.647327225653388	10.89484596387492
255.348	6	0.6400062465653759	10.649807886710215
305.145	7	0.5112024086813085	6.79452546868086
356.328	8	0.5112005993010599	6.794477370869832
407.448	9	0.41434954083383646	4.463824091719489
457.355	10	0.4143478571250603	4.463787814307364
507.109	11	0.338033868716446	2.9709393063845937
557.175	12	0.33803204567255307	2.970907261440846
607.424	13	0.2749573487075711	1.9656401338157183
657.596	14	0.27495529547788805	1.9656107772946505
708.33	15	0.22309154751808064	1.294015802924313
708.335	16	1.0000000000000002e27	3.380000000000001e56
758.764	17	0.22305782876724775	1.2936246693333293
808.553	18	0.13425432675627444	0.4686298305722933
808.559	19	1.0000000000000002e27	3.380000000000001e56
858.902	20	0.13425237253582498	0.46861618781894615
859.049	21	1.0000000000000002e27	3.380000000000001e56
859.196	22	1.0000000000000002e27	3.380000000000001e56
859.503	23	1.0000000000000002e27	3.380000000000001e56
909.626	24	0.09767813478662399	0.248066468400241
959.932	25	0.09767813478662402	0.2480664684002411
