problem,n,m,method,f,sse,rmsd,gradient_norm,iterations,function_evaluations,gradient_evaluations,execution_time_seconds,converged,status,x0,solution
mgh01,2,2,ffjm2_psb,3.669189285409231e-28,7.338378570818462e-28,1.9155127995942056e-14,2.708944180085382e-14,4,12,5,0.071176423,true,gradient_converged,"[-1.2, 1.0]","[1.000000000000027, 1.0000000000000542]"
mgh01,2,2,bfgs_backtracking2,1.9811212969866065e-22,3.962242593973213e-22,1.4075231070879819e-11,3.687402878681231e-10,39,53,40,6.356e-5,true,gradient_converged,"[-1.2, 1.0]","[1.0000000000118199, 1.0000000000220381]"
mgh02,2,2,ffjm2_psb,24.49212683962,48.98425367924,4.948952095102558,1.2582680523989828e-6,14,45,15,0.105125008,true,function_converged,"[0.5, -2.0]","[11.412778985325131, -0.8968052561535454]"
mgh02,2,2,bfgs_backtracking2,1.1069296222061238e-26,2.2138592444122475e-26,1.0521072294239422e-13,2.198150974748396e-12,10,15,11,2.692e-5,true,gradient_converged,"[0.5, -2.0]","[5.0000000000001155, 3.999999999999999]"
mgh03,2,2,ffjm2_psb,2.5702774659009496e-17,5.140554931801899e-17,5.069790395964068e-9,2.660660593501394e-9,15,48,16,0.194335681,true,gradient_converged,"[0.0, 1.0]","[1.0981514530575144e-5, 9.106212054955744]"
mgh03,2,2,bfgs_backtracking2,5.053640174072107e-30,1.0107280348144214e-29,2.248030287623391e-15,2.830752396078957e-10,173,233,174,0.000223565,true,gradient_converged,"[0.0, 1.0]","[1.0981593296991694e-5, 9.10614673987187]"
mgh04,2,3,ffjm2_psb,9.860761315271616e-32,1.972152263054323e-31,2.5639502485125845e-16,4.4408920985048613e-10,5,48,6,0.092112772,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0000000000000003e-6]"
mgh04,2,3,bfgs_backtracking2,9.860761315271616e-32,1.972152263054323e-31,2.5639502485125845e-16,4.4408920985048613e-10,13,40,14,3.9956e-5,true,gradient_converged,"[1.0, 1.0]","[1.0e6, 2.0000000000000003e-6]"
mgh05,2,3,ffjm2_psb,8.404105925942891e-20,1.6808211851885781e-19,2.367010199378517e-10,1.2513202548482502e-9,6,14,7,0.366015742,true,gradient_converged,"[1.0, 1.0]","[2.9999999991787143, 0.4999999998474047]"
mgh05,2,3,bfgs_backtracking2,2.500895342872257e-22,5.001790685744514e-22,1.2912256045768447e-11,1.0795509381222512e-10,18,22,19,4.0577e-5,true,gradient_converged,"[1.0, 1.0]","[2.9999999999865765, 0.5000000000011922]"
mgh06,2,10,ffjm2_psb,1010.0,2020.0,14.212670403551895,4.822745531992369e-24,1,10,2,5.8212e-5,true,gradient_converged,"[0.3, 0.4]","[-55.07499321463552, -142.80668870583]"
mgh06,2,10,bfgs_backtracking2,1010.0,2020.0,14.212670403551895,1.161570550373405e-28,1,10,2,1.9471e-5,true,gradient_converged,"[0.3, 0.4]","[-65.70890395282613, -170.30731771551737]"
mgh07,3,3,ffjm2_psb,4.2217531893330764e-26,8.443506378666153e-26,1.6776477956418775e-13,2.507049944004623e-12,9,25,10,0.172334556,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999999762, 1.0389242635916e-13, 1.6069924616410751e-13]"
mgh07,3,3,bfgs_backtracking2,5.236320261563365e-19,1.047264052312673e-18,5.908367096225129e-10,5.028697146926833e-9,29,41,30,6.6583e-5,true,gradient_converged,"[-1.0, 0.0, 0.0]","[0.9999999999980391, -6.108499822114774e-10, -9.957338127193799e-10]"
mgh08,3,15,ffjm2_psb,0.5019102934109734,1.0038205868219467,0.25869165517039094,3.1278780230854794e-8,24,87,25,0.300446464,true,function_converged,"[1.0, 1.0, 1.0]","[0.0521652068792622, -0.3865185124970467, 3.9745713230175754]"
mgh08,3,15,bfgs_backtracking2,0.004107438653289492,0.008214877306578983,0.023402104330706365,7.394161492709181e-10,27,34,28,0.000134269,true,gradient_converged,"[1.0, 1.0, 1.0]","[0.08241055957207155, 1.1330360875689756, 2.3436951829426325]"
mgh09,3,15,ffjm2_psb,5.639663860669469e-9,1.1279327721338939e-8,2.742180120675146e-5,1.368031105170503e-9,2,6,3,0.010541321,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.398956136014589, 1.0000190656109536, 1.771508354014487e-13]"
mgh09,3,15,bfgs_backtracking2,5.639663848431548e-9,1.1279327696863096e-8,2.742180117699917e-5,1.5521307719980087e-9,4,6,5,3.3712e-5,true,gradient_converged,"[0.4, 1.0, 0.0]","[0.3989561382713217, 1.0000190844570773, 1.225054448470418e-20]"
