Avaliacoes normais de quad_fun no two_dim_problem
tempo_s	n_calfun	RMSD	erro_quadratico_total
6.241	1	0.2627670283451458	1.7952092908188053
7.016	2	1.0000000000000002e27	3.380000000000001e56
12.403	3	0.6080053380781915	9.611432769420974
17.843	4	0.23103842354540544	1.3878475820129998
23.259	5	0.273540869567719	1.9454397904204603
28.691	6	0.23755270685774607	1.4672135019214982
34.117	7	0.23583483154139442	1.446069761972105
39.426	8	0.22788869263975398	1.3502646620594625
44.697	9	0.2169777346197481	1.2240627703386637
49.938	10	0.19014430485943434	0.9400262734324151
49.971	11	1.0000000000000002e27	3.380000000000001e56
55.285	12	0.14949023559321634	0.5810305939805984
55.309	13	1.0000000000000002e27	3.380000000000001e56
55.336	14	1.0000000000000002e27	3.380000000000001e56
60.688	15	0.1276970898188785	0.4239702154534789
65.966	16	0.0702103269487378	0.12816674026646507
71.223	17	0.07884269709307289	0.16162044300766115
71.263	18	1.0000000000000002e27	3.380000000000001e56
71.291	19	1.0000000000000002e27	3.380000000000001e56
76.567	20	0.0681028367022899	0.12058790553936792
76.582	21	1.0000000000000002e27	3.380000000000001e56
76.594	22	1.0000000000000002e27	3.380000000000001e56
76.618	23	1.0000000000000002e27	3.380000000000001e56
76.642	24	1.0000000000000002e27	3.380000000000001e56
82.105	25	0.06285934203576299	0.10273371891039502
82.119	26	1.0000000000000002e27	3.380000000000001e56
82.13	27	1.0000000000000002e27	3.380000000000001e56
82.145	28	1.0000000000000002e27	3.380000000000001e56
82.159	29	1.0000000000000002e27	3.380000000000001e56
82.179	30	1.0000000000000002e27	3.380000000000001e56
82.197	31	1.0000000000000002e27	3.380000000000001e56
82.223	32	1.0000000000000002e27	3.380000000000001e56
82.25	33	1.0000000000000002e27	3.380000000000001e56
82.281	34	1.0000000000000002e27	3.380000000000001e56
82.308	35	1.0000000000000002e27	3.380000000000001e56
82.343	36	1.0000000000000002e27	3.380000000000001e56
82.378	37	1.0000000000000002e27	3.380000000000001e56
87.669	38	0.06199284909946752	0.09992094682620313
87.703	39	1.0000000000000002e27	3.380000000000001e56
87.746	40	1.0000000000000002e27	3.380000000000001e56
87.782	41	1.0000000000000002e27	3.380000000000001e56
87.829	42	1.0000000000000002e27	3.380000000000001e56
87.876	43	1.0000000000000002e27	3.380000000000001e56
93.166	44	0.061885217396174995	0.09957428343646785
93.213	45	1.0000000000000002e27	3.380000000000001e56
98.575	46	0.06183150282329837	0.0994015032760764
98.623	47	1.0000000000000002e27	3.380000000000001e56
103.86	48	0.06180469311265966	0.09931532235950105
103.907	49	1.0000000000000002e27	3.380000000000001e56
109.281	50	0.061791311257439585	0.09927231981975827
109.328	51	1.0000000000000002e27	3.380000000000001e56
109.381	52	1.0000000000000002e27	3.380000000000001e56
109.433	53	1.0000000000000002e27	3.380000000000001e56
114.673	54	0.06178797696734048	0.09926160654063154
114.727	55	1.0000000000000002e27	3.380000000000001e56
119.979	56	0.061786312600927665	0.09925625904530837
120.031	57	1.0000000000000002e27	3.380000000000001e56
125.31	58	0.06178548180182924	0.09925358979858846
125.364	59	1.0000000000000002e27	3.380000000000001e56
125.419	60	1.0000000000000002e27	3.380000000000001e56
125.477	61	1.0000000000000002e27	3.380000000000001e56
130.704	62	0.06178527479123829	0.09925292470674947
130.759	63	1.0000000000000002e27	3.380000000000001e56
130.815	64	1.0000000000000002e27	3.380000000000001e56
130.873	65	1.0000000000000002e27	3.380000000000001e56
130.933	66	1.0000000000000002e27	3.380000000000001e56
130.993	67	1.0000000000000002e27	3.380000000000001e56
131.059	68	1.0000000000000002e27	3.380000000000001e56
131.125	69	1.0000000000000002e27	3.380000000000001e56
136.411	70	0.06178526193876159	0.09925288341387592
136.477	71	1.0000000000000002e27	3.380000000000001e56
141.73	72	0.061785255523189815	0.0992528628017123
141.795	73	1.0000000000000002e27	3.380000000000001e56
147.064	74	0.061785252320727284	0.09925285251273433
147.13	75	1.0000000000000002e27	3.380000000000001e56
152.424	76	0.06178525072215349	0.09925284737678357
152.495	77	1.0000000000000002e27	3.380000000000001e56
152.564	78	1.0000000000000002e27	3.380000000000001e56
152.633	79	1.0000000000000002e27	3.380000000000001e56
157.918	80	0.06178525032383731	0.0992528460970602
157.992	81	1.0000000000000002e27	3.380000000000001e56
158.068	82	1.0000000000000002e27	3.380000000000001e56
158.142	83	1.0000000000000002e27	3.380000000000001e56
163.413	84	0.06178525022458754	0.09925284577818727
163.487	85	1.0000000000000002e27	3.380000000000001e56
168.797	86	0.061785250175045804	0.09925284561901794
168.871	87	1.0000000000000002e27	3.380000000000001e56
174.157	88	0.0617852501503161	0.09925284553956552
174.232	89	1.0000000000000002e27	3.380000000000001e56
174.31	90	1.0000000000000002e27	3.380000000000001e56
174.386	91	1.0000000000000002e27	3.380000000000001e56
179.621	92	0.06178525014415307	0.09925284551976474
179.696	93	1.0000000000000002e27	3.380000000000001e56
179.775	94	1.0000000000000002e27	3.380000000000001e56
179.852	95	1.0000000000000002e27	3.380000000000001e56
179.933	96	1.0000000000000002e27	3.380000000000001e56
180.015	97	1.0000000000000002e27	3.380000000000001e56
185.297	98	0.06178525014338591	0.09925284551729997
185.378	99	1.0000000000000002e27	3.380000000000001e56
185.463	100	1.0000000000000002e27	3.380000000000001e56
185.546	101	1.0000000000000002e27	3.380000000000001e56
190.809	102	0.061785250143196406	0.09925284551669114
190.893	103	1.0000000000000002e27	3.380000000000001e56
190.98	104	1.0000000000000002e27	3.380000000000001e56
191.07	105	1.0000000000000002e27	3.380000000000001e56
196.32	106	0.06178525014314817	0.09925284551653617
196.412	107	1.0000000000000002e27	3.380000000000001e56
196.5	108	1.0000000000000002e27	3.380000000000001e56
196.587	109	1.0000000000000002e27	3.380000000000001e56
196.681	110	1.0000000000000002e27	3.380000000000001e56
202.041	111	0.061785250143142637	0.09925284551651839
202.13	112	1.0000000000000002e27	3.380000000000001e56
202.221	113	1.0000000000000002e27	3.380000000000001e56
202.317	114	1.0000000000000002e27	3.380000000000001e56
207.659	115	0.06178525014314153	0.09925284551651484
207.755	116	1.0000000000000002e27	3.380000000000001e56
207.854	117	1.0000000000000002e27	3.380000000000001e56
213.209	118	0.0617852501431412	0.09925284551651378
213.232	119	1.0000000000000002e27	3.380000000000001e56
213.239	120	1.0000000000000002e27	3.380000000000001e56
213.246	121	1.0000000000000002e27	3.380000000000001e56
213.255	122	1.0000000000000002e27	3.380000000000001e56
213.267	123	1.0000000000000002e27	3.380000000000001e56
213.281	124	1.0000000000000002e27	3.380000000000001e56
213.294	125	1.0000000000000002e27	3.380000000000001e56
213.315	126	1.0000000000000002e27	3.380000000000001e56
213.332	127	1.0000000000000002e27	3.380000000000001e56
213.355	128	1.0000000000000002e27	3.380000000000001e56
213.376	129	1.0000000000000002e27	3.380000000000001e56
213.403	130	1.0000000000000002e27	3.380000000000001e56
213.427	131	1.0000000000000002e27	3.380000000000001e56
213.457	132	1.0000000000000002e27	3.380000000000001e56
213.485	133	1.0000000000000002e27	3.380000000000001e56
213.524	134	1.0000000000000002e27	3.380000000000001e56
213.558	135	1.0000000000000002e27	3.380000000000001e56
213.595	136	1.0000000000000002e27	3.380000000000001e56
213.629	137	1.0000000000000002e27	3.380000000000001e56
213.666	138	1.0000000000000002e27	3.380000000000001e56
213.704	139	1.0000000000000002e27	3.380000000000001e56
